,gene_symbol,log2fold.CC_vs_HC,p.CC_vs_HC,p.adj.CC_vs_HC,CC_1,CC_2,CC_3,CC_4,CC_5,CC_6,CC_7,CC_8,CC_9,CC_10,CC_11,CC_12,CC_13,CC_14,HC_1,HC_2,HC_3,HC_4,HC_5,HC_6,HC_7,HC_8,HC_9,HC_10,HC_11,HC_12,HC_13,HC_14,mean
ENSG00000133812,SBF2,0.325306101,0.062828662,0.171961876,0,2.5,6.54,0.74,0,0.83,0.77,0.96,0,0.82,2.34,0,1.12,0,2.32,0,2.71,0.68,0,1.6,4.62,0,1,0.79,0.77,0.68,1.89,2.69,1.244047619
ENSG00000245532,NEAT1,0.475896472,0.003610686,0.025422691,21.21,11.68,7.47,2.95,9.57,11.6,3.08,11.48,11.06,12.3,3.51,4.75,16.77,6.85,8.13,17.59,13.55,17.7,6.4,8.82,13.87,7.07,3.01,6.28,8.43,4.74,6.6,9.88,11.42785714
ENSG00000133816,MICAL2,0.316506008,0.140690565,0.295987742,1.41,4.17,2.8,1.48,1.06,3.31,3.08,2.87,7.74,3.28,1.17,0,1.12,4.57,2.32,4.4,1.36,3.4,3.2,2.4,1.16,3.03,0,5.5,3.07,4.06,5.66,2.69,3.204285714
ENSG00000133835,HSD17B4,0.233818024,0.043198913,0.13349143,240.33,662.29,589.36,525.16,242.35,356.31,780.81,434.26,527.66,462.49,603.6,332.74,527.78,450.94,659.6,549.74,585.4,628.4,698.75,621.86,649.77,806.84,781.55,712.2,542.71,869.07,808.81,749.67,542.8921429
ENSG00000133874,RNF122,0.28841059,0.088889426,0.217119979,110.27,140.13,215.76,210.21,96.73,199.7,177.88,192.26,269.91,200.08,240.97,232.92,101.75,105.03,130.06,138.53,121.96,264.16,182.28,151.46,137.58,224.18,371.21,175.89,117.28,216.59,167.79,165.2,182.7133333
ENSG00000133884,DPF2,0.221138731,0.065729686,0.17726773,720.98,423.73,750.01,773.72,525.09,1049.03,606.01,748.95,550.89,583.03,626.99,1096.47,557.98,423.54,606.19,393.61,550.17,486.79,470.09,443.96,442.81,481.68,534.74,440.51,417,511.02,524.12,472.25,635.447381
ENSG00000049860,HEXB,0.479739353,0.000775687,0.009504416,2554.52,2418.09,2805.76,2905.33,3545.93,3410.59,2913.02,3219.64,2942.49,2453.48,2409.71,3352.78,2665.76,2312.91,2821.9,2540.89,2525.89,2675.65,2457.6,2509.89,2365.52,1878.26,2311.54,2594.37,2528.06,2427.85,2617.79,2755.36,2623.17119
ENSG00000133943,DGLUCY,0.246638399,0.112748363,0.254528333,541.44,420.39,343.72,479.43,434.74,536.94,468.18,441.91,536.51,506.77,432.81,706.68,408.14,358.47,329.8,382.62,340.13,464.32,362.16,449.57,339.91,218.12,420.37,313.3,418.53,397.99,396.86,335.78,420.4504762
ENSG00000133958,UNC79,0.176881516,0.491283748,0.664445594,1.41,0,5.6,0.74,1.06,1.66,0,1.91,1.11,2.46,0,0,1.12,0,1.16,2.2,0,4.77,2.4,1.6,2.31,0,3.01,3.14,1.53,3.38,1.89,2.69,1.896666667
ENSG00000133961,NUMB,0.407979187,0.036785727,0.119597416,24.03,20.02,16.81,25.82,34.01,51.37,6.93,22,9.96,22.14,9.36,45.95,23.48,12.56,9.29,7.7,1.36,11.57,7.99,8.01,15.03,9.09,11.04,3.93,6.13,13.54,12.25,14.36,21.11547619
ENSG00000177352,CCDC71,0.202755134,0.022860411,0.087213802,19.79,74.24,9.34,134.24,124.36,23.2,3.85,24.87,25.44,145.14,15.21,11.09,31.31,6.85,11.61,10.99,21.68,10.21,87.14,39.27,225.45,5.05,14.05,10.21,81.25,112.36,108.41,246,79.52166667
ENSG00000134028,ADAMDEC1,0.428595415,0.246748752,0.425892725,89.06,111.77,66.31,52.37,68.03,87,54.67,87.04,125,75.44,77.2,145.77,140.89,97.04,63.87,92.36,88.08,111.66,78.35,83.34,61.28,109.06,118.39,68.31,65.16,69.72,78.24,50.28,91.03238095
ENSG00000134030,CTIF,0.447575552,0.003083862,0.022923504,14.14,27.53,21.48,42.78,15.94,23.2,36.96,29.65,22.12,23.78,31.58,20.6,35.78,5.71,34.84,26.39,24.39,42.21,28.78,37.66,30.06,24.24,33.11,19.63,40.63,48.06,49.02,29.63,27.26404762
ENSG00000134046,MBD2,0.27481166,0.036605719,0.119277608,0,0,0,0.74,2.13,0.83,0.77,0,0,0,2.34,4.75,0,0,2.32,0,0,0,2.4,0,1.16,0,5.02,0.79,1.53,0,0.94,1.8,0.921190476
ENSG00000134056,MRPS36,0.289044675,0.015501199,0.066753819,15.55,39.2,26.15,2.21,9.57,1.66,3.08,0.96,13.27,7.38,5.85,0,4.47,4.57,9.29,0,24.39,1.36,0,16.03,15.03,0,1,0,17.63,54.15,0,23.34,10.63071429
ENSG00000050030,NEXMIF,-1.002948249,0.005796006,0.034490045,4.24,0,0,0,0,0,0.77,0,5.53,0.82,0,0,1.12,0,2.32,1.1,1.36,16.34,0.8,0.8,1.16,35.34,0,0,2.3,2.03,0.94,0.9,2.886666667
ENSG00000134057,CCNB1,0.127983994,0.547153652,0.710604667,337.87,438.74,274.6,240.45,260.42,307.42,431.99,340.52,625,277.17,219.92,253.52,259.42,384.72,573.67,425.5,581.33,631.81,484.49,914.36,289.04,458.46,454.48,689.42,640.06,373.62,603.31,592.55,453.0171429
ENSG00000134061,CD180,0.060492648,0.738025991,0.848435586,299.7,517.98,767.76,759.71,615.44,547.72,731.53,835.04,491.15,608.45,539.26,597.35,659.73,432.67,462.19,631.1,411.95,605.94,590.02,497.65,396.57,518.04,478.56,640.74,642.36,620.67,785.24,562.92,581.2511905
ENSG00000134072,CAMK1,0.027991749,0.869092757,0.930649484,1.41,11.68,0,2.21,0,9.11,0,25.83,43.14,41,3.51,0,31.31,3.42,5.81,2.2,2.71,14.3,0,6.41,1.16,0,26.09,13.35,1.53,15.57,25.45,0,9.83
ENSG00000134108,ARL8B,0.102390096,0.378115009,0.563861938,279.91,336.15,347.45,330.44,223.21,404.37,337.27,254.43,228.98,273.06,283.08,521.3,322.04,326.5,363.48,407.91,262.89,319.31,290.21,355.01,299.45,384.74,414.35,310.95,321.95,478.53,303.54,325.9,326.7666667
ENSG00000050130,JKAMP,0.086419087,0.585282717,0.738749919,230.43,379.52,411.9,359.2,227.47,453.25,421.21,371.13,337.39,314.89,301.8,377.11,342.17,283.12,340.25,378.22,288.63,309.78,327.79,358.21,246.26,396.86,474.55,446.79,380.21,424.38,449.65,338.47,347.3438095
ENSG00000134138,MEIS2,-1.40431678,0.001117559,0.01208537,117.34,289.44,159.72,157.1,155.19,100.26,166.33,161.65,310.84,252.56,265.54,129.93,253.83,266,222.96,278.17,256.11,274.37,267.03,314.94,225.45,344.35,279.91,320.37,326.55,309.32,318.62,268.44,236.5480952
ENSG00000100263,RHBDD3,0.217362508,0.06326802,0.172777235,383.11,937.54,370.8,368.79,593.11,367.08,364.99,394.09,632.75,1020.92,553.3,364.43,661.97,841.37,733.93,997.22,681.61,887.12,568.43,827.81,822.04,1272.37,1761.75,499.4,590.24,779.73,531.66,590.76,685.3659524
ENSG00000134153,EMC7,0.299989779,0.006308871,0.036474831,761.97,658.12,898.52,912.39,1029.98,1172.49,750.01,937.39,603.99,889.72,671.44,947.52,780.49,698.67,625.93,838.9,711.42,689.68,764.3,650.71,691.39,468.56,636.08,840.97,821.74,710.01,844.63,722.73,756.2047619
ENSG00000134184,GSTM1,0.248099354,0.898436921,0.948073191,0,0.83,0,0.74,1.06,0,0.77,0,0,1.64,0,0,1.12,1.14,0,1.1,2.71,0.68,0.8,1.6,0,0,0,0.79,2.3,1.35,1.89,0,1.026666667
