,gene_symbol,log2fold.CC_vs_HC,p.CC_vs_HC,p.adj.CC_vs_HC,CC_1,CC_2,CC_3,CC_4,CC_5,CC_6,CC_7,CC_8,CC_9,CC_10,CC_11,CC_12,CC_13,CC_14,HC_1,HC_2,HC_3,HC_4,HC_5,HC_6,HC_7,HC_8,HC_9,HC_10,HC_11,HC_12,HC_13,HC_14,mean
ENSG00000236911,AL137789.1,1.066291935,0.000441748,0.006776313,21.21,64.23,65.38,53.11,23.38,64.63,65.45,35.39,47.57,66.42,69.02,49.12,55.91,73.06,49.93,50.58,79.95,59.23,54.36,68.92,50.87,69.68,81.27,56.54,72.82,73.78,68.81,49.38,58.68738095
ENSG00000237372,AL606807.1,1.25893049,0.001126172,0.012141688,12733.01,6709.61,8224.88,7814.67,10732.39,8011.08,7671.02,11573.86,6810.87,9151.37,8064.35,9614.68,8577.61,9622.65,9616.52,6083.4,10155.05,5877.57,8691.95,6942.26,11702.75,6083.14,5078.57,6777.25,7515.97,7324.16,5953.89,10433.39,9001.922619
ENSG00000243273,AC020636.1,1.755711352,0.000288979,0.005276428,6047.72,5152.32,6090.67,5811.4,7088.67,6165.75,5909.97,7575.62,4294.27,4689.66,4901.31,6816.48,5595.41,4468.27,5988.7,4836.59,5374.29,4232.02,4836.86,4459.62,4943.78,3564.66,3698.06,4745.1,5079.12,4790.72,4610.59,5771.09,5376.936429
ENSG00000112651,MRPL2,0.139251679,0.291644237,0.475578213,130.06,198.52,241.91,192.51,114.8,193.07,246.41,142.52,162.61,159.9,216.41,164.79,173.32,171.24,200.9,224.29,195.13,215.14,187.08,170.69,130.65,202.97,272.89,239.49,225.36,224.71,258.29,174.17,184.5188095
ENSG00000175556,LONRF3,0.108576828,0.598696462,0.748888373,2240.68,2318.83,1654.13,1990.73,1828.24,1821.3,1718.7,1396.52,2694.7,2107.44,2227.23,1563.89,1917.69,2437.34,2139.07,2197.85,2443.23,2730.79,2389.65,2848.07,2218.69,2415.48,2553.33,2314.05,2333.36,2094.16,2118.17,1900.65,2095.739762
ENSG00000112658,SRF,0.271581843,0.027067538,0.097192691,2.83,6.67,2.8,2.95,15.94,14.09,6.93,10.52,1.11,4.92,4.68,4.75,8.95,3.42,0,3.3,1.36,4.77,6.4,12.02,5.78,2.02,1,1.57,4.6,2.03,1.89,2.69,6.032380952
ENSG00000112667,DNPH1,0.03804581,0.867650039,0.929808534,1057.43,941.71,1073.18,1124.81,935.38,942.14,1222.8,1147.82,902.66,1135.72,1034.07,961.79,1076.81,1016.04,1114.82,970.84,949.92,959.96,955.38,966.45,804.69,905.81,1051.43,957.97,978.11,1207.49,1199.07,1146.5,1015.244048
ENSG00000112679,DUSP22,0.220099839,0.011960034,0.056288078,339.28,352.83,399.76,443.29,235.97,270.96,418.13,357.74,365.05,443.63,446.85,356.51,424.91,401.85,428.51,362.83,359.1,441.86,418.93,407.1,311.01,395.85,425.39,485.27,400.14,461.61,509.98,379.77,363.9107143
ENSG00000243279,PRAF2,0.290014044,0.10624874,0.244697876,788.83,1404.65,1245.97,1323.96,1281.89,1207.3,1229.74,1129.65,967.93,1011.08,1045.77,993.48,1224.41,942.97,902.31,1338.06,1021.74,1186,1024.93,1044.99,804.69,929.03,1504.91,1340.37,1224.94,1231.86,1307.48,1186.9,1107.308095
ENSG00000112695,COX7A2,0.363751715,0.110243335,0.251095994,0,0.83,2.8,0,1.06,0,0.77,1.91,0,0.82,0,0,0,0,3.48,0,0,0.68,4.8,1.6,0,0,0,3.93,1.53,0.68,0,0.9,0.845952381
ENSG00000112699,GMDS,0.272163957,0.004169669,0.027885022,802.97,859.97,1010.6,1019.34,600.55,1027.49,1047.24,671.48,1057.53,812.63,808.31,1010.9,573.63,603.91,773.41,944.45,730.39,936.82,789.09,645.1,618.55,751.3,1032.37,1193.54,786.47,1103.26,1238.67,896.01,797.4916667
ENSG00000022567,SLC45A4,0.118974911,0.523051481,0.691571087,8.48,32.53,5.6,21.39,9.57,4.14,3.08,5.74,3.32,6.56,10.53,14.26,5.59,1.14,34.84,21.99,4.07,8.17,24.78,18.43,20.81,43.42,67.22,30.62,4.6,22.34,15.08,21.55,13.13547619
ENSG00000112773,TENT5A,0.039039907,0.789918414,0.881752603,1072.98,938.38,1089.05,1103.42,1154.34,1353.96,1197.39,1504.6,941.38,955.32,1121.8,1256.5,1013.08,940.69,933.67,1002.72,944.5,912.31,916.2,872.69,1038.24,754.33,623.03,887.3,1092.33,915.77,1001.11,1159.96,1022.27381
ENSG00000175567,UCP2,0.177384418,0.282346132,0.465700546,9.9,0.83,0.93,0.74,0,4.14,0.77,3.83,5.53,0.82,2.34,4.75,4.47,5.71,6.97,6.6,1.36,1.36,6.4,4.81,2.31,2.02,0,0,0,0.68,16.03,4.49,3.620238095
ENSG00000112787,FBRSL1,0.027546316,0.814366912,0.896731204,5992.59,3503.27,6244.78,4595.87,6069.32,7164.23,4292.14,7139.45,3344.04,5005.37,3604.04,6710.31,4223.39,3620.05,4621.87,3277.54,3356.56,3224.39,3318.64,3158.2,3456.95,2374.08,2138.98,2936.73,3593.56,3339.56,2790.3,4043.71,4800.011429
ENSG00000112796,ENPP5,-1.112246744,3.01E-05,0.001382368,725.22,552.18,622.05,824.62,1093.75,1480.74,633.73,973.73,334.07,669.95,448.02,1086.96,673.15,497.74,517.93,411.2,403.82,264.84,414.93,248.42,350.32,182.78,238.78,308.59,312.75,412.88,365.76,484.81,642.2292857
ENSG00000022840,RNF10,0.605435756,0.026123708,0.094875259,2.83,2.5,7.47,6.64,3.19,6.63,7.7,11.48,4.42,5.74,2.34,3.17,5.59,4.57,4.65,3.3,4.07,2.72,4,4.01,6.94,3.03,1,3.14,3.07,3.38,0,7.18,5.817619048
ENSG00000112799,LY86,0.67458371,0.000103595,0.002865462,7.07,0.83,2.8,1.48,6.38,2.49,3.85,0.96,12.17,2.46,8.19,6.34,13.42,7.99,0,3.3,8.13,5.45,7.99,7.21,17.34,10.1,3.01,8.64,13.03,2.71,9.43,3.59,6.357142857
ENSG00000112855,HARS2,0.078765306,0.375416431,0.561234087,4.24,5,1.87,3.69,4.25,5.8,6.16,2.87,1.11,0,1.17,4.75,2.24,4.57,1.16,3.3,0,3.4,0.8,0,6.94,2.02,1,1.57,0.77,2.03,1.89,1.8,2.999761905
ENSG00000022976,ZNF839,0.109336601,0.247986888,0.427406736,1723.27,1652.38,1309.48,1362.31,1598.64,1265.3,1265.16,1310.43,1828.55,1877.01,1686.8,1120.23,1629.2,1823.16,1457.4,1693.19,1745.36,1629.9,1780.44,1859.98,2048.73,1705.58,1446.72,1359.22,1499.36,1285.33,1215.1,1316.18,1602.39881
ENSG00000112977,DAP,0.392940304,0.006060521,0.035581142,25.45,36.7,51.37,33.93,40.39,73.75,39.27,44,39.82,27.06,45.62,39.61,42.49,31.97,49.93,47.28,16.26,57.87,32.78,60.9,43.93,44.43,59.19,37.69,44.46,40.61,55.62,34.12,46.5052381
ENSG00000112983,BRD8,0.159680947,0.101298116,0.237073958,152.68,25.02,63.51,31.72,2511.7,497.17,147.85,137.74,1286.51,37.72,207.05,438.9,52.55,304.81,38.32,65.97,69.11,48.34,107.93,585.8,92.49,18.18,13.04,147.62,55.96,39.26,30.17,72.72,462.1159524
ENSG00000112984,KIF20A,0.050640273,0.881335194,0.938174664,2233.61,1008.44,1429.97,1528.27,1471.09,1616.63,1322.91,2008.69,1453.55,1681.85,1021.2,1779.38,1070.1,1319.7,987.08,974.14,944.5,942.94,1144.86,917.57,1320.35,833.1,670.19,943.84,1375.18,1055.2,1089.72,1434.69,1416.279762
ENSG00000175573,C11orf68,0.361351272,0.008220928,0.04379777,227.6,310.29,151.31,191.03,171.13,119.32,144,131.04,254.43,192.7,267.88,183.8,233.7,332.21,246.19,262.77,361.81,337.69,242.24,251.63,217.36,288.81,314.02,281.89,231.5,238.93,197.02,194.82,221.6185714
ENSG00000243284,VSIG8,0.178730719,0.502954367,0.674256946,2041.35,458.76,504.36,477.95,587.8,814.53,589.07,411.3,963.5,464.95,773.21,1077.45,755.89,734.06,875.6,544.24,1009.54,914.35,576.43,774.92,897.19,698.79,624.04,437.37,391.7,423.03,390.26,571.9,797.4230952
ENSG00000113068,PFDN1,0.273823794,0.000985188,0.011153739,366.14,350.33,257.79,234.55,298.68,171.52,208.68,200.87,460.18,359.17,295.95,163.2,360.06,445.23,314.71,389.21,378.07,339.05,384.55,447.16,448.59,437.25,497.62,418.52,398.6,429.12,406.29,357.33,359.5628571
ENSG00000113070,HBEGF,0.116616112,0.629782534,0.77305423,1576.25,374.52,425.91,637.27,459.19,973.63,355.75,810.17,727.88,669.13,363.8,1424.46,415.97,432.67,319.35,340.84,302.19,593,275.02,423.92,265.92,315.06,347.13,270.9,238.4,310.67,326.16,263.95,579.327381
ENSG00000113108,APBB3,0.489024054,0.000931787,0.010763549,33.93,53.38,27.09,50.89,35.08,28.17,30.03,47.83,24.34,48.38,58.49,47.53,31.31,27.4,47.61,63.77,37.94,44.25,45.57,60.1,46.25,38.37,48.16,37.69,66.69,60.24,38.65,35.91,45.46714286
ENSG00000113119,TMCO6,0.274896975,0.013894495,0.062045324,15.55,22.52,24.28,25.08,18.07,45.57,23.1,37.3,55.31,39.36,33.92,22.18,8.95,19.41,26.71,34.08,27.1,47.66,13.59,34.46,32.37,10.1,57.19,36.91,31.43,22.34,16.97,21.55,27.79428571
ENSG00000113140,SPARC,0.617929742,0.07441922,0.192772277,708.25,859.14,442.72,434.44,695.16,443.31,353.44,321.39,959.08,503.49,775.55,450,841.99,901.87,789.67,912.56,1024.45,942.26,983.36,947.22,930.72,1049.2,1181.86,732.61,539.65,781.76,528.84,518.93,731.2216667
ENSG00000113141,IK,0.200990415,0.040489781,0.127912652,1427.82,1718.27,1308.55,1014.91,2101.41,769.79,1332.92,1470.17,911.51,1329.24,1422.43,849.29,1388.79,1538.89,1450.43,1254.5,1700.64,942.26,1812.42,1269.37,1871.84,1377.39,950.1,1478.57,2126.39,1666.4,1175.51,1797.41,1504.743333
ENSG00000243289,AGAP13P,0.161521066,0.623970834,0.768766784,1119.63,990.93,1177.79,717.67,1407.32,1290.16,657.6,1269.3,951.33,931.54,821.17,1145.59,1117.07,751.18,924.37,693.77,800.86,836.05,1017.74,818.2,1069.46,707.88,584.91,1041.2,977.34,793.94,882.34,1098.91,1024.363571
ENSG00000113269,RNF130,0.549304202,0.000455018,0.006896406,69.27,210.2,230.7,175.54,92.47,186.44,240.25,109.04,163.72,172.2,168.45,141.02,195.68,162.11,209.03,184.71,180.23,182.46,151.1,174.7,179.21,195.9,242.79,189.24,175.54,203.05,226.24,181.36,167.57
ENSG00000113272,THG1L,0.012985486,0.918731957,0.959887112,2951.76,2418.09,2973.88,2706.19,2964.51,2816.47,2902.24,3250.25,2443.6,2614.21,2819.13,2704.72,2343.72,2409.94,2461.9,2548.58,2894.47,2650.46,2678.26,2227.81,2965.58,2779.02,2107.88,2652.48,2367.09,2473.2,2597.05,2923.25,2651.758571
ENSG00000113273,ARSB,0.162028402,0.317684227,0.503379617,77.75,64.23,129.83,121.7,62.71,96.12,98.56,71.74,98.45,120.54,99.43,91.9,65.97,54.8,77.81,50.58,42.01,97.36,107.93,116.2,89.03,113.1,70.23,111.5,102.72,114.39,115.01,99.66,88.92166667
ENSG00000023191,RNH1,0.431900195,0.000901285,0.010542404,2.83,11.68,18.68,10.33,9.57,4.97,11.55,3.83,9.96,9.02,3.51,1.58,15.65,13.7,8.13,18.69,29.81,32.68,57.56,29.65,25.44,16.16,12.04,21.2,73.59,7.45,27.34,21.55,18.08619048
ENSG00000113303,BTNL8,0.479426666,0.098821162,0.23380518,4.24,5,4.67,4.43,1.06,1.66,4.62,5.74,1.11,3.28,9.36,4.75,6.71,3.42,1.16,5.5,5.42,1.36,3.2,9.62,5.78,10.1,4.01,4.71,3.07,3.38,2.83,5.39,4.907857143
ENSG00000243290,IGKV1-12,0.142612552,0.733925214,0.84569029,2342.47,1926.8,2714.23,2773.31,2752.98,2519.83,2511.83,3032.16,1962.4,2163.2,2034.22,2641.34,2080.95,1921.33,1823.2,1992.25,2065.16,1834.83,2031.48,1600.33,1949.3,1838.88,1527.98,2094.19,2065.07,2213.97,2185.1,2560.54,2166.978571
ENSG00000113312,TTC1,0.315082061,0.008487581,0.044654565,169.64,133.46,78.46,59.01,82.91,122.64,142.46,88,111.73,41,255.01,93.48,143.13,27.4,62.71,100.05,65.04,196.76,86.34,98.57,50.87,54.53,165.54,135.06,174.77,143.49,197.96,96.07,101.4240476
ENSG00000113318,MSH3,0.054809471,0.658125971,0.792883362,192.26,256.91,272.73,264.79,187.08,364.59,302.62,254.43,243.36,232.06,252.67,270.95,241.53,228.32,228.77,210,180.23,302.29,209.46,247.62,193.08,208.02,297.97,275.61,244.53,286.98,279.97,231.63,237.0295238
ENSG00000113368,LMNB1,1.014190923,0.000354574,0.0059908,1.41,0.83,2.8,1.48,0,2.49,1.54,0.96,1.11,0.82,1.17,3.17,0,0,2.32,2.2,1.36,0,0,0.8,1.16,2.02,1,0,0,0.68,0,0.9,1.516428571
ENSG00000243302,AC018638.4,0.094172789,0.599982962,0.74986151,4639.69,2970.28,4817.62,4238.88,5260.43,5056.23,3378.88,5646.32,2779.88,2348.52,2754.79,2806.13,3867.81,2367.7,3093.64,3002.67,3692.62,3167.88,2787.79,2708.63,4277.83,1199.66,953.11,2707.45,3043.95,2424.46,2648.9,4510.57,3310.415952
ENSG00000113369,ARRDC3,0.072378976,0.71384171,0.831518403,849.62,925.03,705.18,954.43,869.48,1225.53,917.87,945.04,911.51,992.22,880.83,983.97,877.78,778.58,821.02,861.99,715.49,797.93,737.12,717.23,645.14,629.12,872.85,871.6,799.51,784.47,904.02,729.92,850.4116667
ENSG00000113387,SUB1,0.027481383,0.932490658,0.966819046,278.49,237.72,169.06,213.9,163.69,270.96,150.93,125.3,246.68,171.38,247.99,239.26,257.18,353.9,241.55,266.07,201.91,296.16,195.87,245.22,221.98,217.11,326.06,221.43,195.47,138.75,180.05,161.6,228.3235714
ENSG00000175592,FOSL1,0.757905637,0.00110865,0.012072915,31.1,41.71,19.61,19.91,13.82,14.92,21.56,16.26,17.7,22.96,23.4,22.18,27.95,17.12,25.55,9.9,17.62,17.7,22.39,16.03,20.81,24.24,26.09,38.48,26.06,23.01,26.39,24.24,25.34928571
ENSG00000113504,SLC12A7,0.106458892,0.633983433,0.77607625,114.51,230.22,219.49,221.27,160.5,178.15,274.9,184.61,241.15,215.66,246.82,144.19,220.28,276.27,220.64,255.08,266.95,279.14,252.64,283.68,243.95,313.04,296.97,273.26,271.36,303.23,280.91,227.14,227.2907143
ENSG00000113555,PCDH12,0.016901355,0.904317524,0.951552789,0,0.83,0,0.74,1.06,4.14,1.54,0,0,0,0,1.58,0,0,0,0,2.71,0,0.8,0,0,2.02,0,0,1.53,0,0,0.9,1.00452381
ENSG00000113558,SKP1,0.128895619,0.267978576,0.450487419,3377.28,2549.88,2877.68,2951.06,3599.08,3455.34,2879.14,3385.11,2545.37,2619.95,2725.55,3200.67,2994.5,2583.47,3137.77,2400.16,2945.97,2721.26,2957.28,2265.47,3330.92,2224.63,2061.73,2362.73,2615.45,2428.53,2411.34,3221.32,2895.543095
ENSG00000113575,PPP2CA,0.160836881,0.18238793,0.349981536,2397.6,2341.36,2239.75,1901.48,2173.69,2171.81,1992.83,1986.69,2169.26,2205.84,1986.26,2170.75,2624.38,2530.96,2385.26,2288.01,2332.11,1996.18,2103.43,2268.68,2427.96,2558.88,2672.72,2120.88,2160.89,2141.54,2129.49,1940.16,2325.05119
ENSG00000023318,ERP44,0.29067835,0.033915781,0.11310531,769.04,882.49,1023.67,1023.76,852.47,1154.27,1056.48,1156.43,859.52,870.04,966.22,1025.16,772.67,786.57,838.44,886.18,775.11,798.61,725.13,766.11,683.3,762.41,833.72,857.46,835.53,829.81,873.85,817,885.4730952
ENSG00000175600,SUGCT,0.221129369,0.433603119,0.614217966,63.62,272.75,123.29,130.55,61.65,76.23,254.88,86.09,97.35,73.8,198.86,58.63,83.86,100.46,196.26,181.41,136.86,166.8,137.51,159.47,117.93,128.25,137.45,140.55,97.35,230.13,169.68,154.42,119.6238095
ENSG00000113643,RARS1,0.058968638,0.649462799,0.786971761,2.83,10.84,3.74,8.85,4.25,1.66,14.63,7.65,22.12,6.56,7.02,6.34,7.83,17.12,10.45,13.19,6.78,14.98,8.79,12.02,8.09,12.12,26.09,13.35,21.46,12.18,15.08,8.98,11.42214286
ENSG00000113645,WWC1,0.629056414,0.067954632,0.181412992,93.3,97.59,139.17,115.8,100.98,84.52,124.74,106.17,90.71,137.76,131.01,109.33,125.24,101.6,82.45,94.55,108.41,133.44,97.54,113.79,90.18,143.39,87.28,121.71,111.92,115.74,129.15,120.31,112.5288095
ENSG00000023330,ALAS1,0.23778916,0.081892282,0.205834961,172.47,238.56,153.18,165.96,212.59,172.35,188.66,134.87,245.58,186.96,217.58,167.96,187.86,195.22,236.9,234.19,178.87,181.78,223.06,213.16,215.05,362.52,315.03,239.49,223.83,284.28,195.13,205.6,217.8964286
ENSG00000113648,MACROH2A1,0.470398109,0.001593558,0.015134222,45.24,90.08,74.72,81.13,52.08,37.29,80.08,72.7,86.28,86.92,80.71,52.29,64.85,63.93,81.29,89.06,82.66,125.27,122.32,112.99,107.52,123.2,95.31,111.5,108.08,116.42,105.58,105.04,81.10380952
ENSG00000243317,STMP1,0.475115938,0.007965008,0.042807766,507.51,287.77,587.49,511.88,668.58,516.23,473.57,775.74,247.79,290.29,491.3,372.36,521.07,296.82,437.8,179.21,378.07,320.67,570.03,315.74,356.1,187.83,159.52,268.55,403.97,464.32,275.26,544.07,427.367381
ENSG00000113712,CSNK1A1,0.076106734,0.42723472,0.609243957,511.75,807.42,544.53,581.95,707.91,643.84,520.54,626.52,596.24,497.75,485.45,353.34,620.59,626.75,508.64,589.32,468.86,522.19,529.26,625.07,482.12,567.52,613,628.18,572.61,637.59,493.02,545.87,572.8354762
ENSG00000113719,ERGIC1,0.65486867,0.002549117,0.020349968,45.24,20.02,25.22,18.44,22.32,85.35,28.49,25.83,23.23,13.12,31.58,17.43,15.65,11.42,8.13,12.09,18.97,35.4,23.98,44.08,16.19,7.07,24.08,17.27,12.26,16.24,13.2,8.98,27.8402381
ENSG00000175602,CCDC85B,0.043711423,0.791954866,0.882517986,391.59,634.76,612.71,496.39,535.72,314.05,644.51,550,574.12,385.41,441,275.7,618.36,598.21,642.19,622.3,634.18,510.62,666.77,584.2,632.42,797.76,649.12,581.06,593.31,802.74,659.87,692.21,533.9007143
ENSG00000113732,ATP6V0E1,0.638021795,0.000664564,0.00862899,7.07,58.39,23.35,21.39,4.25,15.74,33.11,13.39,17.7,8.2,37.43,7.92,21.25,33.11,30.19,43.98,32.52,20.42,42.37,43.27,18.5,32.31,30.1,36.12,37.56,38.58,41.48,30.53,25.7
ENSG00000113749,HRH2,1.136321597,5.13E-05,0.00187538,180.95,434.57,231.63,165.96,231.72,158.27,121.66,116.7,407.08,291.11,398.89,278.87,323.16,367.6,315.87,328.74,350.97,356.07,482.89,361.42,354.94,591.75,893.92,354.14,338.05,504.25,311.08,308.84,370.642381
ENSG00000113758,DBN1,0.610402747,0.000274246,0.00511199,43.82,190.18,93.4,83.35,237.03,215.44,436.61,272.61,209.07,216.48,203.54,99.82,82.75,91.33,180,76.96,242.56,258.71,101.53,75.33,99.43,236.3,151.49,104.43,98.12,355.34,180.05,130.18,164.1569048
ENSG00000113761,ZNF346,0.085964767,0.355258473,0.541509581,417.04,841.62,545.46,635.79,519.77,380.34,632.19,635.13,483.41,797.87,756.84,334.33,576.98,480.62,688.64,636.6,500.03,923.2,673.96,596.22,548.02,369.59,273.89,526.88,932.88,530.65,776.76,738.89,575.1190476
ENSG00000113763,UNC5A,1.555449474,1.24E-06,0.000222511,559.82,748.2,480.08,542.12,755.74,276.76,489.74,559.56,901.55,651.09,692.5,305.81,657.49,716.93,660.77,624.5,848.29,763.21,869.83,790.15,853.25,686.68,549.79,712.2,836.3,743.18,573.14,877.16,677.1014286
ENSG00000113790,EHHADH,0.017008759,0.928589986,0.96454082,4864.47,5752.04,6714.59,4872.46,4597.17,7137.72,5615.05,4660.15,5221.26,5795.04,6248.88,6602.57,8030.82,7751.55,6279.01,5164.24,4977.25,5698.52,4896.82,5186.46,4973.84,7365.61,11707.19,4879.37,5116.68,7938.06,5225.21,4257.39,6749.735238
ENSG00000175604,AC007601.1,0.675012976,0.009457839,0.047933625,5.65,25.02,10.27,24.34,10.63,19.89,13.09,16.26,19.91,8.2,44.45,6.34,14.54,7.99,18.58,35.18,17.62,30.64,14.39,12.02,28.9,20.2,13.04,16.49,49.06,17.6,15.08,17.06,19.26928571
ENSG00000113811,SELENOK,0.309433311,0.173812223,0.339848366,2.83,1.67,3.74,2.95,0,3.31,2.31,4.78,0,0,1.17,3.17,0,2.28,5.81,2.2,0,1.36,0,0,4.62,1.01,2.01,0.79,0.77,2.71,0.94,2.69,1.86
ENSG00000243323,PTPRVP,0.072808817,0.754715713,0.85940567,510.34,376.18,358.66,401.98,491.07,406.02,413.51,497.39,350.67,350.15,386.02,345.42,437.21,316.23,429.67,324.35,452.6,292.07,391.75,381.45,391.94,315.06,283.93,381.62,384.04,429.8,323.34,386.06,410.1292857
ENSG00000113845,TIMMDC1,0.23203335,0.020561166,0.080833981,453.79,583.88,353.06,414.52,567.6,272.62,224.08,379.74,493.37,545.31,464.4,275.7,563.57,601.63,621.28,692.67,504.09,377.18,628.39,543.33,581.55,629.12,601.96,534.74,543.48,557.72,506.21,568.31,526.0554762
ENSG00000113916,BCL6,0.784784136,0.001904304,0.016919293,856.69,863.31,625.79,440.34,677.09,329.79,368.07,374.95,1247.79,870.86,760.35,500.7,950.46,1116.5,866.31,941.15,963.47,902.09,925,939.2,822.04,1244.1,1318.3,1014.51,867.73,904.27,745.65,670.66,866.1597619
ENSG00000113924,HGD,0.300151997,0.231077356,0.407122092,4.24,3.34,7.47,5.9,6.38,3.31,3.08,2.87,11.06,9.02,9.36,6.34,6.71,4.57,0,7.7,6.78,8.85,7.99,10.42,3.47,5.05,9.03,12.56,16.1,12.86,7.54,8.98,7.166904762
ENSG00000114013,CD86,0.350173982,0.032282756,0.109322328,400.07,351.16,479.15,301.67,427.3,227.04,257.19,506,432.52,450.19,346.25,381.86,543.44,437.24,340.25,283.66,494.61,446.62,590.82,274.07,482.12,373.63,393.28,493.12,459.16,452.13,211.16,448.9,453.212619
ENSG00000023572,GLRX2,0.17501223,0.131009299,0.282270245,9.9,0,0.93,0.74,5.31,1.66,1.54,0.96,1.11,0.82,5.85,0,2.24,3.42,4.65,1.1,0,5.45,2.4,5.61,2.31,5.05,1,1.57,0.77,3.38,1.89,2.69,2.895952381
ENSG00000114030,KPNA1,0.045233766,0.644469033,0.783087745,487.72,598.06,470.74,504.51,469.81,484.74,535.17,492.61,585.18,531.37,604.77,541.9,590.4,567.38,570.19,613.51,567.78,614.11,680.36,624.27,610.46,634.17,632.06,570.86,630.1,581.41,599.54,531.5,540.5252381
ENSG00000114054,PCCB,0.081942786,0.289604521,0.473265515,1456.09,603.9,569.75,296.51,1319.09,596.61,139.38,344.35,268.81,424.77,259.69,426.23,575.87,339.06,203.22,312.25,223.59,162.72,181.48,149.86,301.76,201.96,232.76,144.48,111.15,208.47,100.87,103.25,856.6911905
ENSG00000175606,TMEM70,0.291100869,0.092973653,0.223984175,103.2,232.72,101.81,78.18,112.67,89.49,119.35,134.87,192.48,92.66,162.6,109.33,154.31,154.12,184.64,205.6,139.57,191.99,135.91,195.53,126.02,234.28,217.71,175.89,141.04,213.21,226.24,149.04,151.1107143
ENSG00000114124,GRK7,0.066560263,0.847244818,0.917105537,289.8,300.28,306.35,157.1,274.24,264.33,192.51,130.09,379.43,276.34,294.78,369.19,440.57,348.19,332.12,302.36,360.45,364.24,331.78,350.2,313.32,605.89,557.82,299.17,248.36,267.35,257.35,190.33,359.6519048
ENSG00000114125,RNF7,0.275943591,0.046990115,0.141205949,104.61,120.95,90.6,86.3,92.47,49.72,50.05,77.48,188.05,154.98,118.15,58.63,89.45,163.25,103.35,162.72,138.22,121.87,122.32,146.65,98.27,156.52,175.57,108.36,131.08,135.37,143.29,104.15,119.0007143
ENSG00000114166,KAT2B,0.027430013,0.873986963,0.93386507,5.65,4.17,6.54,5.16,2.13,6.63,11.55,7.65,4.42,5.74,1.17,6.34,1.12,2.28,3.48,1.1,6.78,1.36,4.8,4.01,3.47,5.05,7.02,7.07,3.83,4.74,10.37,1.8,4.810238095
ENSG00000114209,PDCD10,0.186533248,0.531878091,0.698703433,1617.25,1719.94,1577.54,1686.85,1690.06,1588.46,1819.58,1531.38,1563.06,1644.13,1630.65,1730.26,1606.83,1705.57,1894.04,1703.09,1715.54,1717.72,1550.19,1560.27,1722.69,1930.77,1662.42,1594.79,1621.24,1749.65,1886.28,1836.91,1639.896667
ENSG00000114268,PFKFB4,0.797667843,0.000302047,0.005412826,11.31,14.18,7.47,9.59,4.25,1.66,1.54,8.61,4.42,7.38,8.19,0,5.59,7.99,4.65,6.6,6.78,12.94,4.8,8.82,11.56,4.04,8.03,7.85,4.6,4.74,6.6,8.98,6.560238095
ENSG00000114270,COL7A1,0.676874172,0.007011313,0.039235964,145.61,244.4,261.52,252.99,170.07,191.41,275.67,132,272.13,246,349.76,152.11,260.54,310.52,311.22,390.31,294.05,251.22,277.42,258.04,319.1,409.99,345.13,266.19,285.15,314.06,295.06,290.89,262.9311905
ENSG00000114316,USP4,0.250782012,0.055620574,0.158049058,11.31,9.18,12.14,7.38,5.31,9.11,18.48,13.39,11.06,9.02,10.53,11.09,7.83,12.56,6.97,8.8,20.33,7.49,4.8,6.41,10.41,9.09,10.03,14.13,11.5,12.86,16.03,14.36,9.571666667
ENSG00000023697,DERA,0.323126485,0.010171465,0.050524226,460.86,522.99,566.01,615.88,466.63,620.64,741.54,600.69,476.77,508.41,641.03,522.88,506.54,539.98,519.09,512.36,558.3,609.34,687.55,571.38,554.96,454.42,496.62,644.67,637,621.35,692.86,673.35,527.2430952
ENSG00000243364,EFNA4,0.24607109,0.014396959,0.063422594,229.02,218.54,156.91,165.96,180.7,270.13,151.7,135.83,266.59,174.66,239.8,278.87,204.63,227.18,190.45,238.59,222.23,246.46,183.08,217.97,190.77,236.3,260.85,157.04,150.24,182.07,155.54,114.92,207.6459524
ENSG00000175634,RPS6KB2,0.262900627,0.029258865,0.102439185,19.79,52.55,43.9,53.84,30.82,14.09,63.91,25.83,36.5,32.8,46.79,15.84,38.02,55.94,62.71,82.46,40.65,58.55,50.37,39.27,46.25,98.96,84.27,79.31,45.99,69.04,98.04,52.07,48.06571429
ENSG00000114353,GNAI2,0.551796141,0.00034516,0.005889808,379671.76,144731.96,91515.12,68519.82,231819.4,191161.39,61158.73,72229.49,239721.31,110617.54,167538.2,252490.03,264247.61,219105.17,222761.59,158232.16,215230.43,178883.68,149137.52,183562.37,199020.74,210190.51,193297.61,73441.82,65748.82,94759.87,55399.64,65669.94,204017.5662
ENSG00000114354,TFG,0.084166485,0.339840486,0.526375102,3021.03,2918.56,3597.8,3781.58,4016.81,4143.09,4282.9,4371.28,2713.51,2687.19,3354.88,3834.47,2776.46,2937.37,3186.54,2921.31,3578.79,3001.76,3748.76,2923.39,3582.97,2367.01,2052.7,2863.7,3506.94,2861.71,2946.78,4150.55,3209.524524
ENSG00000114378,HYAL1,0.394953187,0.016292207,0.069159181,7.07,10.01,3.74,11.8,3.19,4.14,8.47,4.78,0,4.1,1.17,6.34,3.35,4.57,4.65,15.39,2.71,8.17,7.2,4.81,3.47,8.08,13.04,7.07,6.9,6.09,14.14,8.98,5.823809524
