,gene_symbol,log2fold.FLU_vs_CC,p.FLU_vs_CC,p.adj.FLU_vs_CC,CC_1,CC_2,CC_3,CC_4,CC_5,CC_6,CC_7,CC_8,CC_9,CC_10,CC_11,CC_12,CC_13,CC_14,FLU_1,FLU_2,FLU_3,FLU_4,FLU_5,FLU_6,FLU_7,FLU_8,FLU_9,FLU_10,FLU_11,FLU_12,FLU_13,FLU_14,mean
ENSG00000168421,RHOH,0.155508353,0.461349015,0.747485257,0,0,0.93,0.74,0,0.83,0.77,0.96,0,1.64,2.34,4.75,0,0,2.71,0.66,1.45,0,0,0,0.91,2.07,0,0.76,0.81,0,3.2,1.25,1.211904762
ENSG00000213096,AC092279.1,1.021029643,0.000288111,0.022046929,2.83,3.34,1.87,0.74,1.06,1.66,1.54,1.91,2.21,2.46,0,1.58,0,0,2.71,0.66,0,0,0,0,1.81,1.04,0,0,1.63,3.67,0,1.25,1.343809524
ENSG00000213123,TCTEX1D2,0.072855615,0.751875705,0.905590763,5.65,16.68,6.54,9.59,9.57,8.29,8.47,5.74,3.32,11.48,2.34,7.92,6.71,9.13,9.47,7.87,23.24,1.26,2.77,2.13,9.07,6.22,1.41,17.52,4.89,3.67,6.4,37.62,8.89952381
ENSG00000213131,YWHAZP4,0.624445682,0.023723606,0.16931884,0,0.83,5.6,5.16,1.06,2.49,3.08,5.74,3.32,2.46,3.51,6.34,2.24,0,4.06,0.66,4.36,0,0,0,0.91,7.26,7.03,3.05,4.89,0,4.8,0,2.487619048
ENSG00000213152,RPL7AP60,0.208941314,0.395175349,0.693217684,12.72,5.84,5.6,7.38,2.13,11.6,6.93,12.43,3.32,8.2,2.34,12.68,2.24,2.28,9.47,1.31,15.98,10.12,5.53,21.35,9.98,6.22,11.25,6.1,8.15,11.02,4.8,20.07,7.051666667
ENSG00000213178,RPL22P1,0.719271227,0.01284301,0.126587979,5.65,2.5,0.93,1.48,0,2.49,6.16,0.96,5.53,0.82,3.51,1.58,2.24,4.57,1.35,2.62,0,2.53,2.77,4.27,2.72,4.15,5.62,0,3.26,3.67,19.19,6.27,2.774761905
ENSG00000213185,FAM24B,0.033721794,0.917576684,0.971423754,0,1.67,2.8,2.95,2.13,1.66,0.77,0.96,1.11,0,1.17,1.58,2.24,1.14,4.06,1.31,1.45,0,5.53,4.27,5.44,1.04,0,0.76,3.26,4.9,0,1.25,1.839761905
ENSG00000213186,TRIM59,0.098319123,0.618402675,0.840103519,4.24,5,14.01,6.64,2.13,1.66,3.85,3.83,4.42,9.84,10.53,1.58,3.35,9.13,5.41,5.9,0,8.85,0,4.27,6.35,4.15,11.25,3.05,4.89,6.12,1.6,1.25,5.302142857
ENSG00000213190,MLLT11,0.153097812,0.399876456,0.696792251,2.83,4.17,2.8,6.64,2.13,1.66,3.08,1.91,2.21,5.74,1.17,0,3.35,4.57,2.71,8.53,1.45,3.79,0,0,5.44,3.11,0,4.57,3.26,6.12,6.4,3.76,3.222142857
ENSG00000213199,ASIC3,0.017630384,0.937731687,0.979811092,4.24,3.34,1.87,2.95,2.13,2.49,1.54,2.87,3.32,1.64,3.51,0,2.24,2.28,5.41,3.94,4.36,2.53,5.53,0,0.91,4.15,1.41,14.48,4.89,2.45,1.6,2.51,4.207857143
ENSG00000213203,GIMAP1,0.051662754,0.532768105,0.79515387,39.58,30.03,40.16,38.35,26.57,44.75,16.94,36.35,47.57,21.32,33.92,49.12,46.96,28.54,16.23,15.09,30.5,24.02,35.96,78.99,22.67,48.72,37.96,23.62,18.74,96.76,36.77,18.81,30.04738095
ENSG00000213204,AL049697.1,0.60566398,0.024063338,0.170381296,42.41,9.18,43.9,25.08,15.94,27.34,30.8,26.78,30.97,21.32,30.41,36.44,16.77,23.97,40.58,21.64,40.67,35.4,33.2,12.81,49.88,27.99,18.28,34.29,26.07,19.6,73.54,56.44,27.59928571
ENSG00000237899,AL031289.1,0.421214021,0.247943522,0.55876214,836.9,432.9,441.79,452.87,594.18,457.4,334.96,330,606.2,629.77,441,629.04,672.03,497.74,619.49,505.03,365.99,909.15,470.27,1413.27,523.25,840.68,919.58,457.93,550.77,827.97,1255.03,332.35,584.9433333
ENSG00000100448,CTSG,2.318335643,5.03E-05,0.009697534,10481.02,9326.22,8731.11,8544.14,11751.74,8101.4,8531.14,10267.26,8307.56,8252.63,8577.88,8296.39,9512.41,9573.56,10603.1,7816.18,8965.28,9947.52,10428.92,13097.27,9315.21,9181.13,12824.85,7120.37,7789.8,9181.15,8454.23,3361.13,9136.674762
ENSG00000168438,CDC40,0.397631665,0.011158958,0.116383261,0,18.35,7.47,8.11,8.5,2.49,6.93,6.7,26.55,9.02,12.87,6.34,5.59,7.99,4.06,12.46,7.26,11.38,2.77,10.67,3.63,1.04,1.41,23.62,17.92,13.47,9.59,6.27,10.99690476
ENSG00000213213,CCDC183,0.253664857,0.288939407,0.601187438,7.07,2.5,0,1.48,4.25,0,2.31,0.96,1.11,2.46,0,0,1.12,3.42,2.71,0,0,1.26,0,2.13,0.91,2.07,1.41,2.29,0,0,3.2,2.51,1.929285714
ENSG00000213214,ARHGEF35,0.022396011,0.955667178,0.987210564,2.83,7.51,8.41,5.9,4.25,5.8,4.62,6.7,11.06,5.74,2.34,6.34,5.59,12.56,2.71,21.64,15.98,2.53,0,42.7,4.53,3.11,7.03,6.86,5.7,7.35,11.19,10.03,9.008571429
ENSG00000213221,DNLZ,0.303213626,0.404137146,0.700316831,4.24,0,0,0,2.13,1.66,0,0.96,2.21,0.82,1.17,0,0,0,0,0,0,0,2.77,0,0.91,2.07,1.41,1.52,0,1.22,1.6,3.76,1.047142857
ENSG00000087302,RTRAF,0.274139151,0.052513342,0.254689711,139.95,40.87,79.39,54.58,125.43,138.38,43.12,117.65,35.4,41.82,40.94,226.58,59.26,42.24,78.45,44.6,95.85,64.49,207.47,140.9,153.26,53.9,57.65,31.24,68.44,44.09,25.58,85.28,70.2247619
ENSG00000213246,SUPT4H1,0.170927379,0.193450869,0.495644167,5.65,5.84,6.54,5.9,2.13,4.14,1.54,5.74,6.64,4.1,4.68,3.17,7.83,4.57,8.12,7.21,2.9,3.79,0,2.13,4.53,4.15,0,5.33,6.52,2.45,1.6,11.29,4.861190476
ENSG00000213261,EEF1B2P6,0.40828936,0.418874894,0.712194779,11.31,11.68,21.48,14.01,18.07,10.77,13.09,22.96,2.21,10.66,7.02,33.27,8.95,5.71,25.7,2.62,5.81,12.64,33.2,21.35,11.79,19.7,19.69,9.91,5.7,12.25,11.19,10.03,11.76619048
ENSG00000213275,IFITM9P,0.843019007,0.141612905,0.42259494,9.9,5,2.8,2.95,6.38,4.14,0.77,6.7,6.64,8.2,2.34,4.75,6.71,4.57,5.41,5.9,2.9,2.53,2.77,4.27,6.35,3.11,4.22,5.33,5.7,4.9,7.99,1.25,5.315238095
ENSG00000213277,MARCKSL1P1,1.019404616,0.004246729,0.072935713,1.41,4.17,0,0.74,0,0,0.77,0.96,1.11,1.64,0,1.58,2.24,4.57,2.71,1.31,0,0,0,0,0,3.11,4.22,3.81,0.81,3.67,0,0,1.812380952
ENSG00000087303,NID2,0.17480128,0.371661743,0.674684708,5.65,5,2.8,3.69,4.25,0,2.31,2.87,6.64,5.74,2.34,1.58,3.35,2.28,1.35,9.84,0,11.38,0,23.48,3.63,13.48,14.06,11.43,17.92,19.6,23.98,0,6.875952381
ENSG00000213281,NRAS,0.287117944,0.058711097,0.267806909,0,0,0,0,0,0.83,0,0,0,1.64,0,0,0,2.28,0,0,0,0,0,0,0.91,0,0,2.29,0,2.45,0,0,0.6
ENSG00000213290,PGK1P2,0.286108499,0.450981919,0.73876634,1.41,0.83,0.93,1.48,2.13,0.83,3.08,0.96,1.11,4.1,0,1.58,2.24,1.14,4.06,0.66,2.9,1.26,0,2.13,3.63,4.15,2.81,0.76,2.44,1.22,0,2.51,1.795238095
ENSG00000213326,RPS7P11,1.063166878,0.028312355,0.183892348,0,5.84,2.8,3.69,1.06,0.83,8.47,0.96,2.21,0,3.51,3.17,1.12,0,13.53,6.56,2.9,0,13.83,2.13,6.35,3.11,1.41,2.29,3.26,0,0,23.83,3.50547619
ENSG00000087338,GMCL1,0.159971745,0.272605653,0.585113795,1.41,1.67,0.93,0,0,0.83,0.77,2.87,0,2.46,2.34,0,5.59,3.42,2.71,7.87,2.9,0,0,0,1.81,2.07,0,3.05,3.26,7.35,0,3.76,2.46047619
