,gene_symbol,log2fold.FLU_vs_CC,p.FLU_vs_CC,p.adj.FLU_vs_CC,CC_1,CC_2,CC_3,CC_4,CC_5,CC_6,CC_7,CC_8,CC_9,CC_10,CC_11,CC_12,CC_13,CC_14,FLU_1,FLU_2,FLU_3,FLU_4,FLU_5,FLU_6,FLU_7,FLU_8,FLU_9,FLU_10,FLU_11,FLU_12,FLU_13,FLU_14,mean
ENSG00000000003,TSPAN6,0.45629575,0.238332528,0.548472751,4.24,12.51,2.8,5.9,1.06,4.97,1.54,6.7,3.32,0.82,15.21,4.75,8.95,13.7,10.82,17.71,7.26,1.26,2.77,2.13,4.53,1.04,1.41,27.43,12.22,6.12,3.2,13.8,8.585714286
ENSG00000236911,AL137789.1,0.865290019,0.003654956,0.067064877,21.21,64.23,65.38,53.11,23.38,64.63,65.45,35.39,47.57,66.42,69.02,49.12,55.91,73.06,56.81,91.17,47.93,34.14,47.03,38.43,77.99,36.28,35.15,77.72,62.74,45.32,39.97,134.19,58.68738095
ENSG00000243273,AC020636.1,2.602532482,4.10E-08,0.000144099,6047.72,5152.32,6090.67,5811.4,7088.67,6165.75,5909.97,7575.62,4294.27,4689.66,4901.31,6816.48,5595.41,4468.27,5130.44,3425.03,6756.27,5740.66,7571.34,5757.68,8649.57,5874.39,9159.2,3729.72,4244.02,5443.04,3950.53,2860.72,5376.936429
ENSG00000175556,LONRF3,0.525058617,0.010792155,0.115000315,2240.68,2318.83,1654.13,1990.73,1828.24,1821.3,1718.7,1396.52,2694.7,2107.44,2227.23,1563.89,1917.69,2437.34,2368.42,2323.8,1548.19,2164.76,1657.01,1291.58,1221.53,2216.24,1799.78,2327.74,1905.69,2136.06,3050.43,1395.87,2095.739762
ENSG00000112655,PTK7,0.387349554,0.26310914,0.5750659,602.23,818.26,703.31,798.06,500.64,772.27,939.43,609.3,784.3,693.73,1063.31,755.8,654.14,795.7,723.65,975.96,779.9,709.36,569.86,236.97,681.95,535.92,376.83,896.05,689.28,538.91,569.16,806.42,771.6888095
ENSG00000022556,NLRP2,0.043955809,0.904834844,0.966239028,682.81,399.54,335.31,573.1,375.21,576.72,435.07,482.08,511.06,437.07,387.19,711.44,386.89,437.24,492.35,396.15,450.22,399.57,531.13,202.81,538.67,437.44,260.12,217.15,340.56,339.27,295.77,525.49,423.9647619
ENSG00000112667,DNPH1,0.280945726,0.218923034,0.526991588,1057.43,941.71,1073.18,1124.81,935.38,942.14,1222.8,1147.82,902.66,1135.72,1034.07,961.79,1076.81,1016.04,1148.36,1002.85,965.8,885.12,860.32,935.06,1188.89,1080.13,1297.81,943.29,911.7,918.6,713.05,1048.47,1015.244048
ENSG00000112679,DUSP22,0.095317829,0.276705921,0.589532411,339.28,352.83,399.76,443.29,235.97,270.96,418.13,357.74,365.05,443.63,446.85,356.51,424.91,401.85,277.28,480.76,258.52,279.45,215.77,172.92,343.7,306.83,248.88,386.31,365.01,339.27,167.87,397.57,363.9107143
ENSG00000243279,PRAF2,0.056058739,0.75528303,0.907699773,788.83,1404.65,1245.97,1323.96,1281.89,1207.3,1229.74,1129.65,967.93,1011.08,1045.77,993.48,1224.41,942.97,960.35,1095.98,1536.57,897.77,1244.83,576.41,1232.41,763.97,698.82,1094.91,907.63,861.04,593.14,2197.27,1107.308095
ENSG00000112695,COX7A2,0.502793638,0.027211167,0.18078427,0,0.83,2.8,0,1.06,0,0.77,1.91,0,0.82,0,0,0,0,0,0.66,0,0,0,0,0,1.04,2.81,0,0.81,1.22,3.2,0,0.845952381
ENSG00000112697,TMEM30A,0.39613431,0.0369495,0.212768565,5640.58,4183.08,5517.19,3927.62,5864.18,4724.78,4694.09,5659.71,1383.86,5919.69,3538.53,5918.07,2818.95,2812.93,4336.46,1812.86,2638.9,2901.94,7275.35,15308.97,8046.52,8329.05,13852.69,1319.69,4367.86,3384.14,5427.78,1634.16,4348.452857
ENSG00000112699,GMDS,0.001663763,0.986084151,0.996068838,802.97,859.97,1010.6,1019.34,600.55,1027.49,1047.24,671.48,1057.53,812.63,808.31,1010.9,573.63,603.91,546.45,749.68,761.02,539.93,603.05,232.7,769.92,467.51,326.21,726.9,765.05,401.74,505.21,1753.3,797.4916667
ENSG00000112701,SENP6,0.2084522,0.17838077,0.476720358,513.17,371.18,235.37,286.18,291.24,299.96,328.03,241.04,860.62,499.39,381.34,335.91,361.17,404.13,290.81,436.16,316.61,445.09,318.12,247.64,277.5,525.55,257.31,463.26,373.15,507.07,1402.11,194.39,406.2042857
ENSG00000022567,SLC45A4,0.019135593,0.918198018,0.971629662,8.48,32.53,5.6,21.39,9.57,4.14,3.08,5.74,3.32,6.56,10.53,14.26,5.59,1.14,1.35,4.59,7.26,0,2.77,2.13,4.53,9.33,4.22,24.38,8.96,0,4.8,7.52,13.13547619
ENSG00000112715,VEGFA,0.429130906,0.017186347,0.145110161,858.1,824.1,585.62,564.99,1007.66,380.34,417.36,552.87,709.07,652.73,648.05,364.43,768.19,802.55,1053.68,712.95,421.18,1355.5,608.58,1680.12,473.38,879.03,1569.18,653.75,706.39,971.27,1253.43,201.92,789.7835714
ENSG00000112739,PRPF4B,0.088948456,0.445413478,0.73374963,607.88,736.52,747.21,736.84,569.73,531.14,850.11,652.34,690.27,806.07,773.21,622.7,734.65,726.07,689.83,870.36,586.74,722.01,403.88,537.98,714.6,579.46,606.02,720.04,830.23,658.95,580.35,811.44,723.0535714
ENSG00000112742,TTK,0.920894981,0.002379859,0.054747706,2.83,47.54,29.89,40.57,7.44,29.83,60.06,28.7,44.25,26.24,50.3,22.18,27.95,52.51,31.11,64.93,43.57,22.76,8.3,6.4,24.49,10.37,11.25,71.62,26.89,11.02,12.79,47.66,39.97357143
ENSG00000112763,BTN2A1,0.296387468,0.053158461,0.255981988,7.07,5.84,2.8,2.21,7.44,0,6.16,2.87,2.21,4.92,8.19,1.58,5.59,7.99,1.35,5.9,2.9,5.06,0,10.67,2.72,10.37,2.81,9.91,3.26,6.12,4.8,0,5.101904762
ENSG00000022840,RNF10,0.159411791,0.55808807,0.808129898,2.83,2.5,7.47,6.64,3.19,6.63,7.7,11.48,4.42,5.74,2.34,3.17,5.59,4.57,5.41,2.62,7.26,16.44,11.07,27.75,9.07,6.22,11.25,5.33,2.44,4.9,4.8,5.02,5.817619048
ENSG00000112851,ERBIN,0.220556797,0.200539581,0.503934356,36.76,192.68,108.35,220.54,41.45,60.49,361.91,54.52,164.82,63.14,128.67,72.89,81.63,107.31,116.32,172.5,52.28,55.64,27.66,6.4,125.15,67.38,57.65,162.29,138.51,7.35,27.18,376.25,126.8495238
ENSG00000112855,HARS2,0.00848941,0.92413771,0.97438117,4.24,5,1.87,3.69,4.25,5.8,6.16,2.87,1.11,0,1.17,4.75,2.24,4.57,4.06,1.31,4.36,1.26,13.83,2.13,0.91,0,1.41,2.29,0.81,2.45,7.99,8.78,2.999761905
ENSG00000112874,NUDT12,0.132206837,0.683915723,0.873695484,98.96,256.07,81.26,145.3,315.69,212.13,251.8,229.56,271.02,129.56,100.6,163.2,147.6,203.21,179.9,89.86,503.96,117.59,204.71,450.45,401.74,125.43,77.33,108.2,123.03,105.33,343.73,126.67,189.6042857
ENSG00000112893,MAN2A1,0.057523956,0.646712044,0.853199866,25.45,16.68,50.44,39.09,26.57,25.69,45.43,66,7.74,21.32,29.24,39.61,25.72,17.12,36.52,21.64,50.83,37.93,33.2,100.34,58.95,32.13,56.24,32,25.26,14.7,41.57,36.37,33.11190476
ENSG00000022976,ZNF839,0.084273861,0.376090462,0.677605808,1723.27,1652.38,1309.48,1362.31,1598.64,1265.3,1265.16,1310.43,1828.55,1877.01,1686.8,1120.23,1629.2,1823.16,1785.44,1418.68,1468.31,1674.15,1676.37,2053.72,979.4,2367.59,2501.41,1395.12,1561.87,2241.4,1932.9,749.98,1602.39881
ENSG00000112972,HMGCS1,0.089165596,0.557366506,0.807895985,622.02,780.73,627.65,781.1,758.93,575.89,740.77,706.87,650.45,651.91,836.38,576.75,803.98,829.95,792.63,999.57,627.41,651.2,459.2,591.35,654.75,557.69,766.31,858.71,724.31,727.53,407.68,539.29,735.0097619
ENSG00000112983,BRD8,0.041788625,0.668414115,0.864951761,152.68,25.02,63.51,31.72,2511.7,497.17,147.85,137.74,1286.51,37.72,207.05,438.9,52.55,304.81,39.23,157.41,673.88,4132.26,6224.16,83.26,56.22,118.17,16.87,86.86,228.13,66.14,177.46,68.98,462.1159524
ENSG00000112984,KIF20A,0.629729077,0.061719697,0.275597723,2233.61,1008.44,1429.97,1528.27,1471.09,1616.63,1322.91,2008.69,1453.55,1681.85,1021.2,1779.38,1070.1,1319.7,1275.51,889.38,1317.27,1653.92,1792.56,1983.27,2122.04,2879.66,1919.3,922.71,1942.36,2565.97,1942.49,698.56,1416.279762
ENSG00000243284,VSIG8,0.381381722,0.149355363,0.435796256,2041.35,458.76,504.36,477.95,587.8,814.53,589.07,411.3,963.5,464.95,773.21,1077.45,755.89,734.06,913.01,682.12,1025.35,852.25,940.54,757.87,611.22,1291.6,431.67,750.52,612.69,655.27,3370.18,813.94,797.4230952
ENSG00000113068,PFDN1,0.11447013,0.169175825,0.46557887,366.14,350.33,257.79,234.55,298.68,171.52,208.68,200.87,460.18,359.17,295.95,163.2,360.06,445.23,334.09,360.08,161.21,457.74,215.77,520.9,161.42,401.16,434.48,406.12,365.82,394.39,932.08,137.96,359.5628571
ENSG00000113070,HBEGF,0.040361691,0.868673014,0.952534379,1576.25,374.52,425.91,637.27,459.19,973.63,355.75,810.17,727.88,669.13,363.8,1424.46,415.97,432.67,428.78,250.55,431.34,330.02,749.67,621.24,692.84,1118.49,641.17,535.65,574.4,873.29,2476.48,368.72,579.327381
ENSG00000023041,ZDHHC6,0.222045194,0.001562167,0.045395111,240.33,209.36,187.74,210.95,181.76,135.89,195.59,238.17,318.59,252.56,299.46,256.69,173.32,163.25,179.9,233.49,108.93,297.15,168.74,162.25,264.8,246.71,161.7,230.87,255.02,254.76,206.24,149.24,228.1788095
ENSG00000113088,GZMK,0.071702918,0.834943442,0.939430727,800.14,698.99,687.43,656.45,731.29,768.96,591.38,616,720.14,646.17,790.76,876.22,809.57,697.53,523.46,682.78,755.22,716.95,940.54,888.1,673.79,987.88,1053.15,683.46,717.79,727.53,853.74,634.6,720.8028571
ENSG00000113108,APBB3,0.009272885,0.94994914,0.985225706,33.93,53.38,27.09,50.89,35.08,28.17,30.03,47.83,24.34,48.38,58.49,47.53,31.31,27.4,25.7,12.46,29.05,36.67,44.26,256.18,34.46,36.28,23.9,24.38,29.33,94.31,28.78,18.81,45.46714286
ENSG00000100197,CYP2D6,0.297318493,0.232298204,0.54207287,2.83,52.55,54.17,55.32,11.69,43.09,101.64,63.13,35.4,9.84,60.83,9.51,39.14,49.09,48.69,59.03,81.33,10.12,5.53,12.81,36.27,12.44,14.06,70.86,63.55,26.95,33.57,105.35,42.015
ENSG00000113140,SPARC,0.475781207,0.169525345,0.465856724,708.25,859.14,442.72,434.44,695.16,443.31,353.44,321.39,959.08,503.49,775.55,450,841.99,901.87,833.21,1098.61,450.22,910.41,500.7,631.91,286.57,589.82,726.94,1086.53,941.85,755.71,769,576.91,731.2216667
ENSG00000113141,IK,0.053019572,0.589037298,0.826257719,1427.82,1718.27,1308.55,1014.91,2101.41,769.79,1332.92,1470.17,911.51,1329.24,1422.43,849.29,1388.79,1538.89,1648.83,1345.22,1166.23,1685.53,1601.68,2777.43,1435.55,1611.91,2792.47,1075.87,1614.01,1997.66,2308.61,681,1504.743333
ENSG00000113161,HMGCR,0.166849522,0.26882101,0.580525371,245.98,175.16,64.45,85.56,93.54,54.69,64.68,77.48,90.71,75.44,155.58,41.2,106.23,154.12,162.31,82.64,66.81,102.42,63.62,44.83,50.78,62.2,44.99,84.58,121.4,241.29,81.54,25.08,109.5619048
ENSG00000113163,CERT1,0.357943882,0.037436997,0.214021891,4.24,3.34,1.87,2.95,0,3.31,1.54,0.96,1.11,0,0,1.58,1.12,1.14,2.71,1.31,4.36,0,2.77,4.27,0,0,1.41,0.76,3.26,3.67,3.2,0,2.263809524
ENSG00000113194,FAF2,0.08978347,0.238802831,0.548943624,79.17,296.11,108.35,109.16,229.59,158.27,191.74,255.39,170.35,118.08,146.22,118.84,140.89,244.31,316.51,203.32,564.96,179.55,124.48,390.68,377.25,46.65,111.08,172.96,119.77,74.71,148.68,155.51,178.1238095
ENSG00000023171,GRAMD1B,0.224605946,0.358158558,0.664516315,152.68,368.68,116.75,196.93,582.48,379.51,392.71,420.87,326.33,162.36,135.69,245.6,201.27,195.22,431.48,81.99,1263.53,183.35,246.2,909.44,780.8,68.42,178.57,156.96,112.44,115.13,322.95,711.1,275.7842857
ENSG00000113240,CLK4,0.820678812,0.000394661,0.025095871,55.13,34.2,84.99,43.52,56.34,64.63,54.67,48.78,59.73,44.28,45.62,68.13,40.25,46.81,62.22,37.39,68.26,69.55,52.56,38.43,45.34,61.16,47.81,45.72,43.18,42.87,44.77,80.27,55.15666667
ENSG00000175581,MRPL48,0.430204077,0.021865648,0.16241637,4759.86,3717.64,2604.02,2388.29,4309.11,2228.15,1850.38,2403.73,3882.76,3627.75,2987.58,2253.14,4161.89,4412.33,3863.05,2836.7,2884.34,3938.8,3941.97,9058.15,1923.44,4679.2,8937.04,2988.35,3353.5,5405.07,6882.65,1054.74,3640.727381
ENSG00000113269,RNF130,0.184400083,0.239196073,0.549114452,69.27,210.2,230.7,175.54,92.47,186.44,240.25,109.04,163.72,172.2,168.45,141.02,195.68,162.11,163.67,230.87,181.54,128.98,135.55,57.64,144.19,90.18,68.9,229.35,140.14,84.51,115.11,274.66,167.57
ENSG00000113273,ARSB,0.137688955,0.396130236,0.694244363,77.75,64.23,129.83,121.7,62.71,96.12,98.56,71.74,98.45,120.54,99.43,91.9,65.97,54.8,94.68,121.34,39.21,39.2,66.39,51.24,100.66,101.59,78.74,131.82,109.18,74.71,36.77,127.92,88.92166667
ENSG00000113282,CLINT1,0.116735658,0.38700084,0.686808483,515.99,414.55,534.25,537.7,527.21,617.32,672.23,594.95,436.95,542.85,486.62,682.92,417.08,462.35,536.99,492.57,537.36,538.66,619.65,403.49,595.8,586.71,437.29,455.64,422.85,439.71,478.03,681,508.0114286
ENSG00000113296,THBS4,0.191383676,0.348362604,0.656395625,7.07,1.67,0.93,1.48,3.19,2.49,3.85,8.61,2.21,2.46,5.85,3.17,1.12,4.57,2.71,2.62,0,3.79,2.77,0,4.53,2.07,1.41,1.52,1.63,6.12,3.2,7.52,3.291428571
ENSG00000113300,CNOT6,0.025246647,0.803599953,0.928759951,1624.32,545.51,800.45,1065.07,847.15,1554.49,1215.87,1632.78,577.44,834.78,699.52,2284.83,869.95,718.07,988.76,476.17,1437.81,1183.54,1562.96,373.6,1450.97,768.12,539.93,314.68,548.32,759.38,370.91,282.18,879.6771429
ENSG00000113303,BTNL8,0.159248022,0.583466246,0.823147567,4.24,5,4.67,4.43,1.06,1.66,4.62,5.74,1.11,3.28,9.36,4.75,6.71,3.42,5.41,1.97,1.45,6.32,2.77,8.54,1.81,6.22,4.22,9.14,5.7,6.12,9.59,11.29,4.907857143
ENSG00000243290,IGKV1-12,1.114944502,0.007461336,0.096049016,2342.47,1926.8,2714.23,2773.31,2752.98,2519.83,2511.83,3032.16,1962.4,2163.2,2034.22,2641.34,2080.95,1921.33,1980.22,1507.22,2730.39,2521.34,2639.04,2177.54,3220.24,2219.35,2809.35,1389.79,1647.42,2151.98,1328.57,1531.32,2166.978571
ENSG00000175582,RAB6A,0.120266618,0.304612561,0.617746379,1600.28,1316.23,1277.72,1284.87,1164.97,1408.65,1139.64,1311.39,1603.99,1339.08,1251.65,1384.84,1107,1359.66,1349.9,1350.47,1174.94,1441.49,1554.66,1229.67,1108.18,1703.13,1372.33,1360.07,1340.26,1316.67,2354.97,1168.87,1360.148571
ENSG00000113312,TTC1,0.225237527,0.059872521,0.271001068,169.64,133.46,78.46,59.01,82.91,122.64,142.46,88,111.73,41,255.01,93.48,143.13,27.4,117.68,41.98,158.3,24.02,102.35,91.8,74.36,25.91,50.62,43.43,99.4,61.24,38.37,154.26,101.4240476
ENSG00000113318,MSH3,0.163395711,0.188681118,0.490216569,192.26,256.91,272.73,264.79,187.08,364.59,302.62,254.43,243.36,232.06,252.67,270.95,241.53,228.32,228.59,232.18,286.11,164.38,190.87,91.8,243.04,160.67,108.27,230.11,197.98,148.2,140.69,571.89,237.0295238
ENSG00000113328,CCNG1,0.189235952,0.138159238,0.416838204,931.61,1264.52,1140.42,1314.37,1970.67,1888.42,1413.77,1108.6,927,791.31,815.33,931.68,1337.35,1389.34,1037.45,933.32,2121.86,431.18,2484.13,762.14,971.24,656.17,382.45,589.75,760.16,840.22,877.72,1171.38,1115.35619
ENSG00000113356,POLR3G,0.722615733,0.000154405,0.016193732,897.69,1040.14,835,973.61,882.23,785.53,876.29,844.6,955.76,918.42,866.79,755.8,1041.03,1028.59,999.58,1046.14,861.24,958.46,763.5,693.82,801.66,881.11,1050.34,942.53,897.04,1058.23,885.71,477.83,950.2647619
ENSG00000113368,LMNB1,0.909049596,0.00136305,0.042739979,1.41,0.83,2.8,1.48,0,2.49,1.54,0.96,1.11,0.82,1.17,3.17,0,0,0,0,2.9,1.26,0,10.67,0.91,1.04,12.65,0.76,0.81,1.22,0,1.25,1.516428571
ENSG00000113369,ARRDC3,0.200772535,0.309094011,0.621466656,849.62,925.03,705.18,954.43,869.48,1225.53,917.87,945.04,911.51,992.22,880.83,983.97,877.78,778.58,861.61,661.79,1009.37,763.73,1120.35,561.46,1032,974.4,1266.88,746.71,644.46,934.53,829.76,605.76,850.4116667
ENSG00000113384,GOLPH3,0.198803237,0.13209945,0.407298422,760.56,1337.92,1074.11,1021.55,804.64,929.71,1275.17,885.74,1285.4,1114.4,1325.34,809.67,986.24,1387.06,1083.44,1455.41,883.02,1076.06,705.4,431.24,806.19,745.31,565.24,1273.21,934.51,778.98,928.88,940.61,1127.341905
ENSG00000113387,SUB1,0.802964321,0.013311673,0.128523862,278.49,237.72,169.06,213.9,163.69,270.96,150.93,125.3,246.68,171.38,247.99,239.26,257.18,353.9,231.3,387.63,284.66,159.32,262.8,115.28,151.44,239.45,123.73,296.4,216.72,271.91,209.44,403.84,228.3235714
ENSG00000113389,NPR3,0.947297668,0.011864375,0.120813135,742.18,648.11,312.89,303.88,711.1,310.73,207.14,202.78,701.33,476.43,494.81,392.95,781.61,824.24,691.18,918.89,466.2,886.39,600.29,920.12,197.69,577.38,1008.16,799.28,848.97,955.35,1012.01,502.91,601.4354762
ENSG00000113391,FAM172A,0.616221973,0.000481052,0.02670873,0,1.67,1.87,0,0,0,1.54,0.96,0,0.82,0,0,1.12,1.14,2.71,2.62,0,0,0,2.13,0,0,0,3.81,0,1.22,0,0,1.05047619
ENSG00000113407,TARS1,0.037267472,0.700494641,0.882011077,1378.34,1312.89,1541.11,1593.91,1446.65,1389.59,1349.09,1700.69,1367.26,1389.93,1657.55,1253.33,1441.34,1355.09,1149.72,1111.07,1394.24,1272.05,1950.24,1731.36,1749.32,1461.6,1841.96,1054.53,1290.56,1739.22,1123.93,648.4,1442.529048
ENSG00000113448,PDE4D,0.591910251,0.00324567,0.063084459,1003.71,1086.02,635.13,689.64,911.99,1070.57,626.03,439.04,1094.03,711.77,1072.67,966.54,1043.27,1308.29,1234.93,1546.58,1296.94,1063.41,957.14,655.4,486.07,810.62,828.18,1488.08,1163.46,963.92,1477.25,1807.23,1027.282143
ENSG00000113456,RAD1,0.112016582,0.44481883,0.733471816,144.2,85.91,154.11,116.54,125.43,268.47,130.13,153.04,165.93,202.54,157.92,172.71,137.54,162.11,116.32,151.51,149.59,150.47,188.11,175.06,125.15,325.49,149.04,142.48,132.8,176.37,463.64,199.41,152.4183333
ENSG00000243304,AC008494.1,0.477624925,0.124516651,0.396464833,8.48,16.68,13.08,14.75,9.57,8.29,22.33,14.35,7.74,10.66,16.38,17.43,14.54,5.71,13.53,23.61,1.45,6.32,2.77,29.89,3.63,5.18,2.81,19.05,22,17.15,7.99,23.83,15.11714286
ENSG00000113460,BRIX1,0.370371221,0.042221051,0.227853123,1646.94,1562.29,1425.3,1532.69,1656.04,1143.49,1524.66,1540.95,1577.44,1629.37,1644.69,1221.64,1509.55,1889.37,1344.49,1517.72,1282.41,1369.41,1551.89,1927.76,1396.56,1643.01,1989.6,1462.17,1394.03,1655.94,2142.34,674.73,1564.293571
ENSG00000003509,NDUFAF7,0.350179264,0.005188364,0.080237114,11.31,10.84,12.14,8.85,4.25,9.94,16.17,9.57,7.74,13.94,3.51,12.68,14.54,4.57,6.76,13.77,8.71,6.32,5.53,4.27,19.95,10.37,2.81,9.91,7.33,11.02,3.2,28.85,10.43214286
ENSG00000175592,FOSL1,0.562979728,0.010767508,0.115000315,31.1,41.71,19.61,19.91,13.82,14.92,21.56,16.26,17.7,22.96,23.4,22.18,27.95,17.12,27.05,28.2,26.14,39.2,22.13,42.7,34.46,36.28,39.37,30.48,29.33,22.05,44.77,13.8,25.34928571
ENSG00000023287,RB1CC1,0.482348856,0.00849926,0.103235283,9.9,0.83,3.74,0.74,2.13,4.14,1.54,0.96,4.42,3.28,1.17,1.58,3.35,2.28,1.35,1.97,1.45,2.53,0,0,0.91,6.22,0,4.57,3.26,6.12,4.8,7.52,3.180952381
ENSG00000113520,IL4,0.043136079,0.922129669,0.973324724,18.38,67.56,20.55,24.34,28.7,6.63,8.47,7.65,30.97,27.06,35.09,9.51,36.9,43.38,25.7,63.62,21.79,24.02,13.83,19.21,16.32,13.48,22.5,63.24,36.66,20.82,30.38,32.61,31.23452381
ENSG00000113532,ST8SIA4,0.459988708,0.023120536,0.167170019,16.96,15.01,13.08,6.64,43.58,18.23,16.94,40.17,17.7,15.58,21.06,22.18,19.01,9.13,10.82,11.81,21.79,8.85,22.13,414.16,17.23,25.91,395.11,7.62,17.92,14.7,23.98,6.27,35.25952381
ENSG00000113558,SKP1,0.300918558,0.00971571,0.110234096,3377.28,2549.88,2877.68,2951.06,3599.08,3455.34,2879.14,3385.11,2545.37,2619.95,2725.55,3200.67,2994.5,2583.47,2718.74,2157.2,3510.3,2358.22,4058.15,4188.57,3150.41,3261.13,4638.65,2160.87,2335.06,3417.21,3077.61,1752.05,2895.543095
ENSG00000166532,RIMKLB,0.071272309,0.678319693,0.870431873,188.02,16.68,26.15,25.82,21.26,80.38,25.41,28.7,97.35,33.62,45.62,33.27,20.13,14.84,29.76,8.53,10.17,16.44,63.62,27.75,40.81,115.06,26.72,22.1,33.4,75.94,121.51,31.35,37.61309524
ENSG00000113575,PPP2CA,0.317735522,0.008435072,0.102818305,2397.6,2341.36,2239.75,1901.48,2173.69,2171.81,1992.83,1986.69,2169.26,2205.84,1986.26,2170.75,2624.38,2530.96,2698.45,3064.29,2072.48,1830.94,2260.06,3558.79,1671.33,2225.57,2121.77,3171.98,2375.8,2204.65,2495.66,3481.53,2325.05119
ENSG00000023318,ERP44,0.23029363,0.092863192,0.340668753,769.04,882.49,1023.67,1023.76,852.47,1154.27,1056.48,1156.43,859.52,870.04,966.22,1025.16,772.67,786.57,804.8,783.13,1468.31,734.65,1089.92,760,1260.53,887.33,787.4,859.47,644.46,695.69,617.12,1315.61,885.4730952
ENSG00000113580,NR3C1,0.272251083,0.08568736,0.326941191,261.53,843.29,753.75,693.33,322.07,643.84,1021.06,648.52,581.86,425.59,789.59,533.97,585.93,706.66,638.43,1042.2,791.52,452.68,370.68,164.38,652.03,175.18,126.55,1070.53,475,293.95,191.85,1634.16,676.9966667
ENSG00000113583,C5orf15,0.387194908,0.008949566,0.106176512,2.83,3.34,2.8,2.95,0,0,3.08,1.91,3.32,0.82,3.51,0,0,3.42,6.76,3.28,0,1.26,5.53,2.13,2.72,2.07,0,3.05,3.26,0,1.6,11.29,2.64452381
ENSG00000113593,PPWD1,0.3824231,0.00959776,0.109631854,121.58,100.93,107.41,102.52,90.35,82.03,129.36,84.17,97.35,137.76,109.96,106.16,105.11,99.32,116.32,154.13,88.59,98.63,105.12,76.85,116.98,108.84,75.93,121.91,137.69,110.23,102.32,206.94,110.1902381
ENSG00000113595,TRIM23,0.511019229,0.031305181,0.194174828,14.14,23.36,25.22,14.01,15.94,9.94,8.47,6.7,21.02,12.3,17.55,14.26,14.54,22.83,22.99,22.96,17.43,21.5,16.6,17.08,19.95,11.4,16.87,22.86,28.52,18.37,7.99,41.39,19.27666667
ENSG00000113597,TRAPPC13,0.364292525,0.04083886,0.224228456,2032.87,2177.04,1845.6,2225.28,1406.25,1795.62,2096.79,1799.21,2306.43,1853.23,2121.95,1494.17,1603.48,1995.54,1889.59,2260.83,1696.33,1872.67,1668.07,751.47,1628.71,1876.24,1015.19,2199.73,1972.5,2265.89,2511.65,1649.21,1979.811667
ENSG00000113615,SEC24A,0.442125828,0.006179189,0.086908249,18.38,17.52,34.56,15.49,18.07,7.46,24.64,21.04,48.67,33.62,16.38,12.68,20.13,17.12,6.76,28.2,14.52,32.88,2.77,27.75,25.39,25.91,25.31,20.57,35.03,28.17,36.77,5.02,23.3247619
ENSG00000113621,TXNDC15,0.141384,0.122983991,0.393896405,2635.1,1688.24,2160.36,2145.62,2771.05,3335.19,1945.09,2552.94,1991.16,2292.76,1742.95,2676.2,2094.36,1803.75,2299.43,1746.62,2791.39,1451.6,3485.53,3787.21,2719.66,2546.92,3006.2,1732.66,1816.89,2036.85,2079.98,2833.13,2110.27881
ENSG00000113638,TTC33,0.53503995,0.01321164,0.128213102,8729.47,5702,7408.56,9950.71,7083.36,10165.49,8829.14,9744.04,6511.09,9057.06,6523.77,12395.46,5152.6,6176.13,4915.38,3121.35,8387.25,6719.35,9676.49,5356.33,10673.67,10578.47,7168.19,3704.57,5055.5,7936.74,5910.61,2816.83,6720.539048
ENSG00000113643,RARS1,0.204421379,0.115479714,0.381638264,2.83,10.84,3.74,8.85,4.25,1.66,14.63,7.65,22.12,6.56,7.02,6.34,7.83,17.12,5.41,27.55,1.45,15.17,2.77,14.94,2.72,7.26,50.62,10.67,16.29,3.67,11.19,5.02,11.42214286
ENSG00000023330,ALAS1,0.055746074,0.683527548,0.873422146,172.47,238.56,153.18,165.96,212.59,172.35,188.66,134.87,245.58,186.96,217.58,167.96,187.86,195.22,190.72,254.48,177.19,190.93,224.07,211.35,150.54,176.22,165.92,273.54,268.87,252.31,399.69,267.13,217.8964286
ENSG00000113648,MACROH2A1,0.264504297,0.075832983,0.305066418,45.24,90.08,74.72,81.13,52.08,37.29,80.08,72.7,86.28,86.92,80.71,52.29,64.85,63.93,52.75,141.02,52.28,69.55,27.66,27.75,71.64,58.05,52.02,93.72,118.95,60.02,51.16,75.25,81.10380952
ENSG00000243317,STMP1,0.334949163,0.061302505,0.274538589,507.51,287.77,587.49,511.88,668.58,516.23,473.57,775.74,247.79,290.29,491.3,372.36,521.07,296.82,342.21,276.78,447.32,360.37,428.78,832.59,797.12,720.43,445.73,288.78,403.3,500.95,457.24,238.29,427.367381
ENSG00000113657,DPYSL3,1.161212974,0.002985482,0.060237342,21.21,10.01,6.54,7.38,11.69,22.37,2.31,8.61,15.49,10.66,10.53,12.68,16.77,15.98,13.53,22.3,17.43,29.08,22.13,19.21,5.44,13.48,28.12,17.52,13.85,19.6,17.59,15.05,12.70095238
ENSG00000113712,CSNK1A1,0.118753193,0.215961497,0.523583722,511.75,807.42,544.53,581.95,707.91,643.84,520.54,626.52,596.24,497.75,485.45,353.34,620.59,626.75,485.59,648.01,531.56,512.11,771.8,589.22,539.58,438.48,877.39,642.32,549.14,601.38,286.18,678.5,572.8354762
