,gene_symbol,log2fold.FLU_vs_HC,p.FLU_vs_HC,p.adj.FLU_vs_HC,HC_1,HC_2,HC_3,HC_4,HC_5,HC_6,HC_7,HC_8,HC_9,HC_10,HC_11,HC_12,HC_13,HC_14,FLU_1,FLU_2,FLU_3,FLU_4,FLU_5,FLU_6,FLU_7,FLU_8,FLU_9,FLU_10,FLU_11,FLU_12,FLU_13,FLU_14,mean
ENSG00000063015,SEZ6,0.712241284,0.015245727,0.05211149,1122.95,1169.84,949.92,1113.83,1198.42,940.81,1127.27,1030.01,1042.4,1292.48,1120.69,1253.52,1275.43,1479.58,1540.62,1113.69,2143.65,1406.08,2453.7,1539.22,2329.71,1401.48,1799.78,1128.44,1224.56,1415.88,1051.98,2212.32,1434.30881
ENSG00000145779,TNFAIP8,0.839483017,2.76E-05,0.000347929,5.81,8.8,2.71,5.45,7.2,3.21,8.09,1.01,2.01,4.71,4.6,4.06,4.71,8.98,5.41,5.25,2.9,11.38,0,4.27,12.7,6.22,5.62,3.81,4.07,8.57,0,5.02,5.706190476
ENSG00000145780,FEM1C,0.164624227,0.617351577,0.74719358,88.26,49.48,18.97,40.17,20.79,40.87,49.72,26.26,15.05,10.21,29.13,26.4,34.88,43.99,52.75,11.81,103.12,44.26,19.36,34.16,39.9,8.29,14.06,12.95,10.59,13.47,89.53,40.13,36.56642857
ENSG00000145781,COMMD10,0.203520907,0.481697034,0.637345836,5.81,17.59,12.2,36.08,15.99,19.23,8.09,15.15,14.05,22.77,29.9,8.8,16.97,21.55,18.94,8.53,10.17,3.79,5.53,0,18.14,20.73,11.25,3.81,13.85,24.5,6.4,12.54,16.9197619
ENSG00000145817,YIPF5,0.608219185,0.001654735,0.009169945,146.32,151.73,131.44,117.1,93.54,123.41,108.68,208.02,242.79,141.34,153.31,152.97,134.8,81.7,156.9,177.09,61,177.02,35.96,198.54,38.09,124.39,157.48,166.87,131.17,161.67,260.6,60.2,127.4942857
ENSG00000145819,ARHGAP26,0.660507743,0.000821789,0.005246088,3.48,1.1,1.36,2.72,4,3.21,4.62,2.02,2.01,7.07,2.3,0.68,0.94,2.69,2.71,3.28,5.81,3.79,5.53,2.13,4.53,6.22,8.44,5.33,4.89,3.67,1.6,1.25,3.50047619
ENSG00000145833,DDX46,0.024221928,0.86775731,0.922545149,0,1.1,0,0.68,0,1.6,2.31,0,2.01,0.79,0.77,3.38,0.94,4.49,0,0.66,2.9,2.53,0,6.4,0.91,2.07,4.22,0.76,0.81,0,3.2,0,1.368333333
ENSG00000178585,CTNNBIP1,0.044838946,0.642618809,0.766747883,45.29,76.96,23.04,66.72,89.54,96.16,67.06,70.69,69.23,76.95,58.26,68.36,34.88,67.34,24.35,76.08,15.98,63.22,49.79,76.85,37.18,39.39,71.71,60.19,49.7,71.04,92.73,65.22,59.17190476
ENSG00000145850,TIMD4,0.221066197,0.660841433,0.780864009,52.26,43.98,44.72,56.51,52.77,53.69,37,45.44,66.22,48.68,59.79,72.42,68.81,53.87,68.98,84.61,43.57,59.43,71.92,51.24,65.29,67.38,66.09,72.38,69.25,62.47,46.36,63.96,59.33571429
ENSG00000063046,EIF4B,0.220156069,0.232510387,0.387898904,1.16,1.1,0,0,0,0,1.16,0,0,2.36,2.3,0.68,0,0.9,1.35,1.31,30.5,1.26,60.86,1029,25.39,5.18,56.24,30.48,0,11.02,0,0,32.77928571
