,gene_symbol,log2fold.FLU_vs_HC,p.FLU_vs_HC,p.adj.FLU_vs_HC,HC_1,HC_2,HC_3,HC_4,HC_5,HC_6,HC_7,HC_8,HC_9,HC_10,HC_11,HC_12,HC_13,HC_14,FLU_1,FLU_2,FLU_3,FLU_4,FLU_5,FLU_6,FLU_7,FLU_8,FLU_9,FLU_10,FLU_11,FLU_12,FLU_13,FLU_14,mean
ENSG00000243273,AC020636.1,0.082535475,0.647967625,0.771022192,5988.7,4836.59,5374.29,4232.02,4836.86,4459.62,4943.78,3564.66,3698.06,4745.1,5079.12,4790.72,4610.59,5771.09,5130.44,3425.03,6756.27,5740.66,7571.34,5757.68,8649.57,5874.39,9159.2,3729.72,4244.02,5443.04,3950.53,2860.72,5376.936429
ENSG00000165802,NSMF,0.099495791,0.676026782,0.792311898,10.45,7.7,2.71,4.77,7.2,5.61,8.09,6.06,40.13,29.84,23,2.71,0.94,2.69,4.06,5.9,5.81,31.61,0,4.27,0.91,4.15,0,17.52,4.89,7.35,14.39,3.76,8.26047619
ENSG00000166529,ZSCAN21,0.438228668,0.205731112,0.35530733,6.97,10.99,1.36,19.74,19.19,19.23,12.72,18.18,18.06,14.13,15.33,10.15,20.74,18.85,16.23,5.9,33.4,11.38,11.07,17.08,23.58,9.33,30.93,2.29,16.29,7.35,23.98,5.02,16.33166667
ENSG00000112655,PTK7,0.659236325,0.118009626,0.238801186,899.99,898.27,926.88,1081.15,937.79,1044.99,839.38,956.3,962.14,894.37,794.14,849.44,944.55,800.84,723.65,975.96,779.9,709.36,569.86,236.97,681.95,535.92,376.83,896.05,689.28,538.91,569.16,806.42,771.6888095
ENSG00000022556,NLRP2,1.931581954,3.23E-10,4.22E-08,551.61,438.69,403.82,544.66,385.35,342.99,360.72,262.55,498.63,375.34,363.34,366.17,380.84,374.38,492.35,396.15,450.22,399.57,531.13,202.81,538.67,437.44,260.12,217.15,340.56,339.27,295.77,525.49,423.9647619
ENSG00000112658,SRF,0.114767635,0.81241662,0.886361382,0,3.3,1.36,4.77,6.4,12.02,5.78,2.02,1,1.57,4.6,2.03,1.89,2.69,2.71,1.97,10.17,5.06,8.3,36.29,18.14,6.22,2.81,3.05,1.63,3.67,9.59,3.76,6.032380952
ENSG00000112659,CUL9,1.484442358,0.001780302,0.009727635,643.35,1096.18,719.55,669.25,630.79,824.61,1075.24,793.72,702.29,533.17,633.93,576.67,520.35,550.35,844.03,1029.74,1125.56,541.19,1278.03,817.65,321.03,531.77,565.24,762.71,734.09,709.16,888.91,1117.45,767.3240476
ENSG00000112667,DNPH1,0.615023244,0.006986158,0.028470887,1114.82,970.84,949.92,959.96,955.38,966.45,804.69,905.81,1051.43,957.97,978.11,1207.49,1199.07,1146.5,1148.36,1002.85,965.8,885.12,860.32,935.06,1188.89,1080.13,1297.81,943.29,911.7,918.6,713.05,1048.47,1015.244048
ENSG00000112679,DUSP22,0.486847091,0.022880141,0.070954889,428.51,362.83,359.1,441.86,418.93,407.1,311.01,395.85,425.39,485.27,400.14,461.61,509.98,379.77,277.28,480.76,258.52,279.45,215.77,172.92,343.7,306.83,248.88,386.31,365.01,339.27,167.87,397.57,363.9107143
ENSG00000243279,PRAF2,6.737968283,6.67E-24,8.58E-20,902.31,1338.06,1021.74,1186,1024.93,1044.99,804.69,929.03,1504.91,1340.37,1224.94,1231.86,1307.48,1186.9,960.35,1095.98,1536.57,897.77,1244.83,576.41,1232.41,763.97,698.82,1094.91,907.63,861.04,593.14,2197.27,1107.308095
ENSG00000112699,GMDS,1.265563344,0.000105209,0.001025097,773.41,944.45,730.39,936.82,789.09,645.1,618.55,751.3,1032.37,1193.54,786.47,1103.26,1238.67,896.01,546.45,749.68,761.02,539.93,603.05,232.7,769.92,467.51,326.21,726.9,765.05,401.74,505.21,1753.3,797.4916667
ENSG00000175564,UCP3,1.000487711,5.99E-06,0.000103353,120.77,157.23,143.64,165.44,147.9,107.38,104.06,96.94,115.38,143.7,209.27,163.12,158.37,143.65,93.33,97.73,194.61,127.71,160.44,115.28,188.63,95.37,108.27,111.24,141.77,165.35,95.93,195.65,140.4080952
ENSG00000022567,SLC45A4,0.879151379,0.003006296,0.014674376,34.84,21.99,4.07,8.17,24.78,18.43,20.81,43.42,67.22,30.62,4.6,22.34,15.08,21.55,1.35,4.59,7.26,0,2.77,2.13,4.53,9.33,4.22,24.38,8.96,0,4.8,7.52,13.13547619
ENSG00000112739,PRPF4B,1.326072076,0.040192441,0.108323992,675.86,814.71,687.03,784.99,793.88,786.14,693.7,926,882.88,863.74,779.58,892.08,877.62,813.41,689.83,870.36,586.74,722.01,403.88,537.98,714.6,579.46,606.02,720.04,830.23,658.95,580.35,811.44,723.0535714
ENSG00000112759,SLC29A1,0.611739518,0.206366448,0.35611799,2.32,3.3,1.36,4.08,0.8,0.8,0,2.02,5.02,4.71,3.83,4.06,6.6,2.69,2.71,1.31,2.9,0,2.77,2.13,0.91,0,0,5.33,1.63,1.22,0,5.02,2.515
ENSG00000112763,BTN2A1,0.033044159,0.941546578,0.966620454,5.81,2.2,10.84,5.45,6.4,4.81,4.62,9.09,3.01,4.71,6.9,6.77,7.54,5.39,1.35,5.9,2.9,5.06,0,10.67,2.72,10.37,2.81,9.91,3.26,6.12,4.8,0,5.101904762
ENSG00000112787,FBRSL1,0.125804947,0.640909684,0.765216417,4621.87,3277.54,3356.56,3224.39,3318.64,3158.2,3456.95,2374.08,2138.98,2936.73,3593.56,3339.56,2790.3,4043.71,5060.11,3117.42,5725.11,4770.81,8489.75,11645.58,8797.39,8403.69,10337.49,2397.84,3909.97,5087.84,4324.64,2392.92,4800.011429
ENSG00000112796,ENPP5,0.458236506,0.00829971,0.032601301,517.93,411.2,403.82,264.84,414.93,248.42,350.32,182.78,238.78,308.59,312.75,412.88,365.76,484.81,553.22,322.04,1042.78,500.73,1881.08,1344.95,1037.44,910.13,1345.62,303.25,394.34,723.86,468.44,612.03,642.2292857
ENSG00000022840,RNF10,0.119984496,0.50926088,0.661579286,4.65,3.3,4.07,2.72,4,4.01,6.94,3.03,1,3.14,3.07,3.38,0,7.18,5.41,2.62,7.26,16.44,11.07,27.75,9.07,6.22,11.25,5.33,2.44,4.9,4.8,5.02,5.817619048
ENSG00000170915,PAQR8,1.084397244,1.11E-05,0.000168213,1790.69,1553.56,1725.03,1590.41,1813.22,1351.91,1913.46,1541.99,1215.97,1610.49,1500.89,1704.3,1424.37,2207.7,1424.3,1452.13,1420.39,1627.36,1344.42,2798.78,2389.56,2228.68,2194.89,1396.64,1834,2042.98,1266.22,1056,1673.265
ENSG00000112799,LY86,0.513547791,0.102189924,0.21506342,0,3.3,8.13,5.45,7.99,7.21,17.34,10.1,3.01,8.64,13.03,2.71,9.43,3.59,6.76,4.59,10.17,7.59,5.53,12.81,2.72,1.04,5.62,6.86,7.33,9.8,4.8,5.02,6.357142857
ENSG00000112812,PRSS16,0.562606546,0.075090862,0.172086846,15.1,20.89,9.49,19.06,12.79,17.63,13.87,18.18,19.06,6.28,15.33,14.21,8.48,10.77,1.35,13.77,4.36,17.7,0,6.4,4.53,2.07,16.87,8.38,10.59,7.35,11.19,1.25,10.41880952
ENSG00000112851,ERBIN,0.026850897,0.931414671,0.960622797,252,168.22,108.41,116.42,114.33,176.3,92.49,196.91,252.82,104.43,96.58,143.49,265.83,151.73,116.32,172.5,52.28,55.64,27.66,6.4,125.15,67.38,57.65,162.29,138.51,7.35,27.18,376.25,126.8495238
ENSG00000112893,MAN2A1,0.614061772,0.006877432,0.028125715,38.32,21.99,39.3,25.19,35.18,27.25,16.19,23.23,7.02,32.19,30.66,17.6,36.76,26.04,36.52,21.64,50.83,37.93,33.2,100.34,58.95,32.13,56.24,32,25.26,14.7,41.57,36.37,33.11190476
ENSG00000112902,SEMA5A,0.346201243,0.264637022,0.425189206,44.13,38.48,25.75,39.49,36.78,32.86,32.37,49.48,39.13,41.62,32.96,41.96,43.36,24.24,24.35,49.19,13.07,22.76,8.3,17.08,27.21,22.81,12.65,47.24,36.66,13.47,17.59,61.45,30.30452381
ENSG00000022976,ZNF839,0.447021684,0.032739255,0.092821898,1457.4,1693.19,1745.36,1629.9,1780.44,1859.98,2048.73,1705.58,1446.72,1359.22,1499.36,1285.33,1215.1,1316.18,1785.44,1418.68,1468.31,1674.15,1676.37,2053.72,979.4,2367.59,2501.41,1395.12,1561.87,2241.4,1932.9,749.98,1602.39881
ENSG00000112972,HMGCS1,0.255012779,0.104613515,0.218800812,822.18,951.05,851,791.8,833.06,711.62,882.16,836.13,857.8,904.58,751.98,802.74,761.68,811.62,792.63,999.57,627.41,651.2,459.2,591.35,654.75,557.69,766.31,858.71,724.31,727.53,407.68,539.29,735.0097619
ENSG00000112983,BRD8,2.103237296,1.76E-09,1.64E-07,38.32,65.97,69.11,48.34,107.93,585.8,92.49,18.18,13.04,147.62,55.96,39.26,30.17,72.72,39.23,157.41,673.88,4132.26,6224.16,83.26,56.22,118.17,16.87,86.86,228.13,66.14,177.46,68.98,462.1159524
ENSG00000112984,KIF20A,1.094867892,0.000126291,0.001191303,987.08,974.14,944.5,942.94,1144.86,917.57,1320.35,833.1,670.19,943.84,1375.18,1055.2,1089.72,1434.69,1275.51,889.38,1317.27,1653.92,1792.56,1983.27,2122.04,2879.66,1919.3,922.71,1942.36,2565.97,1942.49,698.56,1416.279762
ENSG00000112992,NNT,1.523348569,9.62E-08,4.02E-06,0,0,2.71,4.08,2.4,0,0,2.02,1,4.71,3.07,3.38,0.94,0.9,0,4.59,0,2.53,2.77,4.27,1.81,0,1.41,1.52,0.81,1.22,0,0,1.379285714
ENSG00000175573,C11orf68,0.296152285,0.079008192,0.178206152,246.19,262.77,361.81,337.69,242.24,251.63,217.36,288.81,314.02,281.89,231.5,238.93,197.02,194.82,194.78,319.42,140.88,268.07,124.48,111.01,103.38,161.71,136.39,267.44,242.79,243.74,246.21,170.56,221.6185714
ENSG00000112996,MRPS30,0.252111679,0.125467438,0.249674481,18.58,56.07,1.36,2.04,12.79,29.65,28.9,37.36,15.05,21.2,33.73,41.29,32.05,19.75,9.47,1.31,2.9,12.64,8.3,4.27,0.91,10.37,19.69,16,28.52,25.72,11.19,3.76,16.61619048
ENSG00000113048,MRPS27,0.683975968,8.16E-06,0.000131318,6.97,24.19,13.55,6.81,8.79,11.22,10.41,15.15,22.07,14.92,10.73,12.86,24.51,9.88,24.35,23.61,30.5,18.97,35.96,57.64,11.79,8.29,26.72,15.24,17.11,20.82,30.38,22.57,17.97428571
ENSG00000113068,PFDN1,0.031583921,0.86281278,0.919083939,314.71,389.21,378.07,339.05,384.55,447.16,448.59,437.25,497.62,418.52,398.6,429.12,406.29,357.33,334.09,360.08,161.21,457.74,215.77,520.9,161.42,401.16,434.48,406.12,365.82,394.39,932.08,137.96,359.5628571
ENSG00000113070,HBEGF,0.204601187,0.100312705,0.212159395,319.35,340.84,302.19,593,275.02,423.92,265.92,315.06,347.13,270.9,238.4,310.67,326.16,263.95,428.78,250.55,431.34,330.02,749.67,621.24,692.84,1118.49,641.17,535.65,574.4,873.29,2476.48,368.72,579.327381
ENSG00000113083,LOX,0.793430591,0.048910083,0.125526456,114.97,146.23,119.25,161.36,223.85,379.05,169.96,184.8,153.5,328.22,147.94,119.8,182.88,190.33,66.28,138.39,71.16,91.04,207.47,185.73,131.49,224.94,144.83,99.81,119.77,83.29,233.42,66.47,153.1371429
ENSG00000113088,GZMK,0.112496623,0.844520358,0.908120917,742.05,700.37,691.1,729.16,689.15,740.46,775.79,671.53,653.13,597.55,585.64,602.39,566.54,598.84,523.46,682.78,755.22,716.95,940.54,888.1,673.79,987.88,1053.15,683.46,717.79,727.53,853.74,634.6,720.8028571
ENSG00000175575,PAAF1,-1.311841748,3.36E-06,6.53E-05,6.97,29.69,21.68,20.42,33.58,12.82,19.65,21.21,21.07,14.13,55.19,36.55,25.45,29.63,73.04,18.36,122,79.66,215.77,215.62,108.82,25.91,189.82,71.62,85.55,342.95,36.77,17.56,85.37
ENSG00000113119,TMCO6,0.038623151,0.93858061,0.964690795,26.71,34.08,27.1,47.66,13.59,34.46,32.37,10.1,57.19,36.91,31.43,22.34,16.97,21.55,9.47,9.18,78.43,21.5,27.66,27.75,41.72,9.33,22.5,18.29,13.04,33.07,15.99,36.37,27.79428571
ENSG00000100197,CYP2D6,0.314101385,0.401325116,0.566232195,38.32,48.38,67.75,5.45,58.36,84.95,20.81,61.6,43.14,43.97,16.86,42.64,34.88,28.73,48.69,59.03,81.33,10.12,5.53,12.81,36.27,12.44,14.06,70.86,63.55,26.95,33.57,105.35,42.015
ENSG00000113140,SPARC,0.162884757,0.744881932,0.841268633,789.67,912.56,1024.45,942.26,983.36,947.22,930.72,1049.2,1181.86,732.61,539.65,781.76,528.84,518.93,833.21,1098.61,450.22,910.41,500.7,631.91,286.57,589.82,726.94,1086.53,941.85,755.71,769,576.91,731.2216667
ENSG00000113141,IK,1.071141806,0.003373889,0.016059961,1450.43,1254.5,1700.64,942.26,1812.42,1269.37,1871.84,1377.39,950.1,1478.57,2126.39,1666.4,1175.51,1797.41,1648.83,1345.22,1166.23,1685.53,1601.68,2777.43,1435.55,1611.91,2792.47,1075.87,1614.01,1997.66,2308.61,681,1504.743333
ENSG00000113194,FAF2,0.450180389,0.204669265,0.353971989,145.16,167.12,185.65,145.7,110.33,184.31,135.27,198.93,169.55,123.28,160.21,122.51,142.34,138.26,316.51,203.32,564.96,179.55,124.48,390.68,377.25,46.65,111.08,172.96,119.77,74.71,148.68,155.51,178.1238095
ENSG00000023171,GRAMD1B,0.447358823,0.345502959,0.512050657,227.61,356.23,126.02,97.36,57.56,279.68,89.03,193.88,51.17,87.94,201.6,63.62,156.48,155.32,431.48,81.99,1263.53,183.35,246.2,909.44,780.8,68.42,178.57,156.96,112.44,115.13,322.95,711.1,275.7842857
ENSG00000113240,CLK4,0.582151449,0.382461983,0.548516428,85.93,70.37,48.78,46.98,63.16,69.72,39.31,69.68,42.14,65.96,49.83,48.73,58.45,70.93,62.22,37.39,68.26,69.55,52.56,38.43,45.34,61.16,47.81,45.72,43.18,42.87,44.77,80.27,55.15666667
ENSG00000113269,RNF130,0.300231412,0.04228578,0.112482534,209.03,184.71,180.23,182.46,151.1,174.7,179.21,195.9,242.79,189.24,175.54,203.05,226.24,181.36,163.67,230.87,181.54,128.98,135.55,57.64,144.19,90.18,68.9,229.35,140.14,84.51,115.11,274.66,167.57
ENSG00000113272,THG1L,0.060976911,0.878154383,0.929173789,2461.9,2548.58,2894.47,2650.46,2678.26,2227.81,2965.58,2779.02,2107.88,2652.48,2367.09,2473.2,2597.05,2923.25,2413.05,2444.48,2569.18,2640.2,2957.17,2521.25,3307.3,3049.67,3574.25,2192.88,2418.98,2605.16,2239.86,1794.69,2651.758571
ENSG00000113273,ARSB,0.424672835,0.109576126,0.226160487,77.81,50.58,42.01,97.36,107.93,116.2,89.03,113.1,70.23,111.5,102.72,114.39,115.01,99.66,94.68,121.34,39.21,39.2,66.39,51.24,100.66,101.59,78.74,131.82,109.18,74.71,36.77,127.92,88.92166667
ENSG00000113282,CLINT1,1.071892669,0.061008121,0.147880377,473.8,437.59,398.4,517.43,434.92,446.36,431.25,524.1,503.64,539.45,472.96,414.91,586.34,486.61,536.99,492.57,537.36,538.66,619.65,403.49,595.8,586.71,437.29,455.64,422.85,439.71,478.03,681,508.0114286
ENSG00000113296,THBS4,1.34724273,0.037788544,0.103271843,6.97,3.3,1.36,4.08,6.4,1.6,1.16,10.1,1,3.14,0.77,3.38,2.83,3.59,2.71,2.62,0,3.79,2.77,0,4.53,2.07,1.41,1.52,1.63,6.12,3.2,7.52,3.291428571
ENSG00000023191,RNH1,0.349944777,0.551185141,0.696894416,8.13,18.69,29.81,32.68,57.56,29.65,25.44,16.16,12.04,21.2,73.59,7.45,27.34,21.55,8.12,22.96,61,16.44,5.53,36.29,7.25,6.22,16.87,11.43,23.63,13.47,15.99,6.27,18.08619048
ENSG00000113303,BTNL8,0.041900719,0.901526469,0.942805626,1.16,5.5,5.42,1.36,3.2,9.62,5.78,10.1,4.01,4.71,3.07,3.38,2.83,5.39,5.41,1.97,1.45,6.32,2.77,8.54,1.81,6.22,4.22,9.14,5.7,6.12,9.59,11.29,4.907857143
ENSG00000243290,IGKV1-12,1.030313822,2.26E-05,0.000295402,1823.2,1992.25,2065.16,1834.83,2031.48,1600.33,1949.3,1838.88,1527.98,2094.19,2065.07,2213.97,2185.1,2560.54,1980.22,1507.22,2730.39,2521.34,2639.04,2177.54,3220.24,2219.35,2809.35,1389.79,1647.42,2151.98,1328.57,1531.32,2166.978571
ENSG00000175582,RAB6A,0.101948214,0.429196372,0.591621078,1241.4,1377.64,1309.02,1392.29,1218.41,1576.29,1512.27,1380.42,1509.93,1265.78,1206.54,1162.15,1326.33,1272.19,1349.9,1350.47,1174.94,1441.49,1554.66,1229.67,1108.18,1703.13,1372.33,1360.07,1340.26,1316.67,2354.97,1168.87,1360.148571
ENSG00000113312,TTC1,0.412539407,0.027894341,0.082214181,62.71,100.05,65.04,196.76,86.34,98.57,50.87,54.53,165.54,135.06,174.77,143.49,197.96,96.07,117.68,41.98,158.3,24.02,102.35,91.8,74.36,25.91,50.62,43.43,99.4,61.24,38.37,154.26,101.4240476
ENSG00000113318,MSH3,0.279344026,0.310013712,0.475631404,228.77,210,180.23,302.29,209.46,247.62,193.08,208.02,297.97,275.61,244.53,286.98,279.97,231.63,228.59,232.18,286.11,164.38,190.87,91.8,243.04,160.67,108.27,230.11,197.98,148.2,140.69,571.89,237.0295238
ENSG00000113368,LMNB1,0.059992104,0.915327675,0.951346744,2.32,2.2,1.36,0,0,0.8,1.16,2.02,1,0,0,0.68,0,0.9,0,0,2.9,1.26,0,10.67,0.91,1.04,12.65,0.76,0.81,1.22,0,1.25,1.516428571
ENSG00000023228,NDUFS1,0.217354482,0.601735251,0.736114864,847.73,960.94,880.81,836.74,935.39,755.69,848.63,598.82,756.47,1087.53,978.11,946.23,879.51,979.51,693.89,606.69,853.97,931.91,1861.71,2365.41,1511.73,1768.43,2317.22,768.04,806.6,1010.47,1095.15,386.28,1092.142143
ENSG00000113369,ARRDC3,0.55890486,0.203862113,0.353002766,821.02,861.99,715.49,797.93,737.12,717.23,645.14,629.12,872.85,871.6,799.51,784.47,904.02,729.92,861.61,661.79,1009.37,763.73,1120.35,561.46,1032,974.4,1266.88,746.71,644.46,934.53,829.76,605.76,850.4116667
ENSG00000113389,NPR3,0.776883292,0.107250854,0.222681931,591.09,621.2,692.45,621.59,505.27,696.39,606.99,825.02,841.75,350.21,333.45,470.41,298.83,310.64,691.18,918.89,466.2,886.39,600.29,920.12,197.69,577.38,1008.16,799.28,848.97,955.35,1012.01,502.91,601.4354762
ENSG00000113391,FAM172A,0.52989413,0.385953576,0.551680533,0,2.2,4.07,2.04,4.8,0,1.16,2.02,1,0,0.77,0.68,3.77,0,2.71,2.62,0,0,0,2.13,0,0,0,3.81,0,1.22,0,0,1.05047619
ENSG00000113441,LNPEP,0.750683399,0.174545637,0.315519632,362.32,400.21,386.2,398.28,425.32,383.86,389.63,478.65,403.32,403.6,400.14,394.6,363.87,406.71,336.8,374.51,184.45,433.71,226.84,426.97,194.07,340,359.96,374.88,343.82,384.59,532.39,173.07,348.2883333
ENSG00000113460,BRIX1,0.015220086,0.956729338,0.97597877,1544.5,1479.89,1687.09,1638.75,1814.82,1731.76,1977.05,1586.42,1375.49,1574.37,1602.08,1618.34,1472.45,1740.84,1344.49,1517.72,1282.41,1369.41,1551.89,1927.76,1396.56,1643.01,1989.6,1462.17,1394.03,1655.94,2142.34,674.73,1564.293571
ENSG00000003509,NDUFAF7,0.454520011,0.158334969,0.294804578,11.61,8.8,10.84,10.21,19.99,10.42,3.47,10.1,12.04,12.56,13.03,9.48,15.08,11.67,6.76,13.77,8.71,6.32,5.53,4.27,19.95,10.37,2.81,9.91,7.33,11.02,3.2,28.85,10.43214286
ENSG00000113520,IL4,0.506950258,0.001635111,0.00907682,34.84,39.58,43.36,25.87,41.57,40.07,53.18,50.49,65.21,35.33,24.53,38.58,29.22,20.65,25.7,63.62,21.79,24.02,13.83,19.21,16.32,13.48,22.5,63.24,36.66,20.82,30.38,32.61,31.23452381
ENSG00000113522,RAD50,0.53148192,0.329642825,0.496111392,63.87,83.56,89.44,78.98,95.94,104.98,80.93,131.28,132.43,92.66,79.72,85.28,94.27,75.42,62.22,127.24,31.95,55.64,33.2,44.83,27.21,37.32,46.4,102.1,110.81,61.24,44.77,65.22,69.34095238
ENSG00000113558,SKP1,0.502658425,0.023883254,0.073306502,3137.77,2400.16,2945.97,2721.26,2957.28,2265.47,3330.92,2224.63,2061.73,2362.73,2615.45,2428.53,2411.34,3221.32,2718.74,2157.2,3510.3,2358.22,4058.15,4188.57,3150.41,3261.13,4638.65,2160.87,2335.06,3417.21,3077.61,1752.05,2895.543095
ENSG00000113569,NUP155,0.063275802,0.858460883,0.916811871,185.8,208.9,292.7,172.25,166.29,190.73,239.33,311.02,276.9,194.74,216.93,255.85,246.98,172.38,400.37,327.94,188.8,263.01,248.97,311.69,131.49,136.83,223.57,301.73,248.5,444.6,406.08,244.56,236.7335714
ENSG00000113575,PPP2CA,0.955436089,0.235094534,0.390893237,2385.26,2288.01,2332.11,1996.18,2103.43,2268.68,2427.96,2558.88,2672.72,2120.88,2160.89,2141.54,2129.49,1940.16,2698.45,3064.29,2072.48,1830.94,2260.06,3558.79,1671.33,2225.57,2121.77,3171.98,2375.8,2204.65,2495.66,3481.53,2325.05119
ENSG00000113597,TRAPPC13,1.020851383,0.006576775,0.027202006,1910.3,2209.95,2235.9,2578.97,2027.48,2468.22,2216.38,2272.09,2380.77,2203.33,2295.8,2218.03,2219.98,1903.35,1889.59,2260.83,1696.33,1872.67,1668.07,751.47,1628.71,1876.24,1015.19,2199.73,1972.5,2265.89,2511.65,1649.21,1979.811667
ENSG00000113615,SEC24A,0.4720046,0.172452411,0.312878293,16.26,15.39,24.39,38.81,36.78,20.84,8.09,24.24,19.06,31.41,29.13,30.46,23.57,40.4,6.76,28.2,14.52,32.88,2.77,27.75,25.39,25.91,25.31,20.57,35.03,28.17,36.77,5.02,23.3247619
ENSG00000113645,WWC1,0.665734789,0.042624205,0.113172339,82.45,94.55,108.41,133.44,97.54,113.79,90.18,143.39,87.28,121.71,111.92,115.74,129.15,120.31,116.32,89.2,110.38,75.87,85.76,219.89,120.61,115.06,195.44,94.48,101.84,109.01,59.15,125.42,112.5288095
ENSG00000023330,ALAS1,0.314813262,0.010408564,0.038824064,236.9,234.19,178.87,181.78,223.06,213.16,215.05,362.52,315.03,239.49,223.83,284.28,195.13,205.6,190.72,254.48,177.19,190.93,224.07,211.35,150.54,176.22,165.92,273.54,268.87,252.31,399.69,267.13,217.8964286
ENSG00000243317,STMP1,0.432389955,2.22E-05,0.000291479,437.8,179.21,378.07,320.67,570.03,315.74,356.1,187.83,159.52,268.55,403.97,464.32,275.26,544.07,342.21,276.78,447.32,360.37,428.78,832.59,797.12,720.43,445.73,288.78,403.3,500.95,457.24,238.29,427.367381
ENSG00000113657,DPYSL3,1.238462572,0.009378662,0.035902972,10.45,3.3,14.91,7.49,6.4,8.82,12.72,8.08,17.06,3.14,5.37,5.41,2.83,0.9,13.53,22.3,17.43,29.08,22.13,19.21,5.44,13.48,28.12,17.52,13.85,19.6,17.59,15.05,12.70095238
ENSG00000113658,SMAD5,0.593544295,0.106510138,0.221698474,17.42,27.49,25.75,27.91,31.18,16.83,30.06,28.27,38.12,40.83,32.19,31.81,32.99,20.65,16.23,19.02,10.17,50.58,11.07,40.56,11.79,16.59,11.25,38.86,17.92,44.09,3.2,40.13,24.35309524
ENSG00000113712,CSNK1A1,1.575238846,6.71E-08,3.01E-06,508.64,589.32,468.86,522.19,529.26,625.07,482.12,567.52,613,628.18,572.61,637.59,493.02,545.87,485.59,648.01,531.56,512.11,771.8,589.22,539.58,438.48,877.39,642.32,549.14,601.38,286.18,678.5,572.8354762
ENSG00000113716,HMGXB3,0.045173774,0.889623122,0.936240196,371.61,435.39,359.1,499.05,498.08,399.88,406.97,425.13,423.38,383.19,429.26,396.63,376.12,417.48,302.98,352.21,615.79,416.01,453.67,279.66,500.58,467.51,185.6,252.2,288.42,445.83,374.11,332.35,420.5759524
ENSG00000113719,ERGIC1,1.59983559,0.0016231,0.009041332,8.13,12.09,18.97,35.4,23.98,44.08,16.19,7.07,24.08,17.27,12.26,16.24,13.2,8.98,27.05,6.56,52.28,48.05,80.22,87.53,26.3,62.2,14.06,15.24,13.04,61.24,19.19,15.05,27.8402381
ENSG00000175602,CCDC85B,0.157130188,0.176827998,0.318550165,642.19,622.3,634.18,510.62,666.77,584.2,632.42,797.76,649.12,581.06,593.31,802.74,659.87,692.21,562.69,691.3,286.11,652.46,284.93,209.21,543.21,350.37,320.59,613.37,548.32,398.06,426.87,395.06,533.9007143
ENSG00000113732,ATP6V0E1,0.617063785,0.252238295,0.411376857,30.19,43.98,32.52,20.42,42.37,43.27,18.5,32.31,30.1,36.12,37.56,38.58,41.48,30.53,21.64,62.96,17.43,10.12,5.53,6.4,20.86,7.26,8.44,42.67,34.22,20.82,3.2,37.62,25.7
ENSG00000113734,BNIP1,0.09157723,0.867484391,0.922470085,206.71,245.18,219.52,142.97,187.88,250.03,131.8,299.92,272.89,201.8,207.73,253.82,296.94,156.22,148.79,474.2,137.97,106.21,121.72,19.21,148.72,48.72,67.49,455.64,225.68,61.24,71.94,267.13,181.6035714
ENSG00000023445,BIRC3,0.721653231,0.011077449,0.040766322,270.58,281.47,260.18,388.07,269.42,358.21,275.17,305.97,278.91,282.68,281.32,240.28,262.06,280.12,159.61,284,151.04,194.73,118.95,89.66,168.67,276.77,177.17,240.77,263.98,282.93,271.79,159.28,240.5088095
ENSG00000113749,HRH2,-1.15028128,0.007464998,0.030070176,315.87,328.74,350.97,356.07,482.89,361.42,354.94,591.75,893.92,354.14,338.05,504.25,311.08,308.84,320.57,613.91,120.54,558.89,224.07,429.1,146.91,423.97,341.68,736.8,597.21,400.51,450.85,640.87,370.642381
ENSG00000113758,DBN1,0.467028896,0.078365168,0.177371761,180,76.96,242.56,258.71,101.53,75.33,99.43,236.3,151.49,104.43,98.12,355.34,180.05,130.18,97.39,99.04,58.09,251.63,60.86,70.45,101.57,335.86,154.67,83.05,315.31,183.72,86.33,230.76,164.1569048
ENSG00000113763,UNC5A,1.354728812,0.001997594,0.010608794,660.77,624.5,848.29,763.21,869.83,790.15,853.25,686.68,549.79,712.2,836.3,743.18,573.14,877.16,361.15,678.84,316.61,1076.06,188.11,928.66,600.34,817.87,1223.29,605.75,743.05,1059.46,992.83,120.4,677.1014286
ENSG00000113810,SMC4,0.08704857,0.711744243,0.817193712,193.93,217.7,269.66,245.1,203.87,271.66,168.8,230.24,263.86,212.01,264.46,186.81,239.44,169.69,225.89,196.77,251.25,319.91,271.1,343.71,187.72,338.97,506.19,215.63,271.31,764.28,230.22,121.65,264.1433333
ENSG00000113811,SELENOK,0.094244574,0.866026941,0.921414881,5.81,2.2,0,1.36,0,0,4.62,1.01,2.01,0.79,0.77,2.71,0.94,2.69,1.35,1.97,0,0,2.77,4.27,1.81,2.07,4.22,0,4.07,1.22,0,1.25,1.86
ENSG00000243323,PTPRVP,1.233108589,0.000990211,0.006106301,429.67,324.35,452.6,292.07,391.75,381.45,391.94,315.06,283.93,381.62,384.04,429.8,323.34,386.06,344.92,320.07,350.01,399.57,542.19,634.05,416.25,557.69,767.72,349.73,378.04,428.68,721.04,206.94,410.1292857
